# 한국 월별 수출액 · 관세청 통관 기준 · 한국은행 ECOS 901Y118 T002 · 단위 천달러 · 받은 날 2026-09-25
# 전년동월비는 scripts/ecos_export.py 가 계산한다(원계열 · 계절조정 없음)
date,수출금액_천달러,전년동월비
2000-01,12162425,
2000-02,12676042,
2000-03,14429703,
2000-04,13522040,
2000-05,14636755,
2000-06,15250940,
2000-07,14455656,
2000-08,14786880,
2000-09,15133379,
2000-10,15248068,
2000-11,14989068,
2000-12,14976555,
2001-01,12644929,4.0
2001-02,13354074,5.3
2001-03,14124891,-2.1
2001-04,12121110,-10.4
2001-05,13306959,-9.1
2001-06,12931941,-15.2
2001-07,11392257,-21.2
2001-08,11766192,-20.4
2001-09,12447324,-17.7
2001-10,12086028,-20.7
2001-11,12348967,-17.6
2001-12,11914472,-20.4
2002-01,11381879,-10.0
2002-02,11023037,-17.5
2002-03,13251323,-6.2
2002-04,13184534,8.8
2002-05,14173177,6.5
2002-06,12894088,-0.3
2002-07,13395179,17.6
2002-08,13959110,18.6
2002-09,13900763,11.7
2002-10,15084659,24.8
2002-11,15196561,23.1
2002-12,15026217,26.1
2003-01,14319931,25.8
2003-02,13337145,21.0
2003-03,15378850,16.1
2003-04,15720592,19.2
2003-05,14676092,3.5
2003-06,15656327,21.4
2003-07,15431714,15.2
2003-08,15375268,10.1
2003-09,17021082,22.4
2003-10,18929665,25.5
2003-11,18242088,20.0
2003-12,19728688,31.3
2004-01,18987120,32.6
2004-02,19136968,43.5
2004-03,21174855,37.7
2004-04,21483357,36.7
2004-05,20834259,42.0
2004-06,21657111,38.3
2004-07,21003794,36.1
2004-08,19798969,28.8
2004-09,20831133,22.4
2004-10,22663289,19.7
2004-11,23076612,26.5
2004-12,23197206,17.6
2005-01,22454025,18.3
2005-02,20401096,6.6
2005-03,23952500,13.1
2005-04,22872505,6.5
2005-05,23122703,11.0
2005-06,23707576,9.5
2005-07,23235522,10.6
2005-08,23342967,17.9
2005-09,24519191,17.7
2005-10,25352748,11.9
2005-11,25826192,11.9
2005-12,25631716,10.5
2006-01,23257866,3.6
2006-02,23786956,16.6
2006-03,26840145,12.1
2006-04,25590123,11.9
2006-05,27934507,20.8
2006-06,27948805,17.9
2006-07,25774350,10.9
2006-08,27287195,16.9
2006-09,29651247,20.9
2006-10,28015959,10.5
2006-11,30602313,18.5
2006-12,28775383,12.3
2007-01,28092561,20.8
2007-02,26225125,10.3
2007-03,30385840,13.2
2007-04,29944456,17.0
2007-05,31039901,11.1
2007-06,32000109,14.5
2007-07,30207444,17.2
2007-08,30998134,13.6
2007-09,29323535,-1.1
2007-10,34433813,22.9
2007-11,35807893,17.0
2007-12,33030276,14.8
2008-01,32274575,14.9
2008-02,31178190,18.9
2008-03,35991776,18.4
2008-04,37850247,26.4
2008-05,39383158,26.9
2008-06,37258608,16.4
2008-07,40961223,35.6
2008-08,36610603,18.1
2008-09,37428303,27.6
2008-10,37111140,7.8
2008-11,28841617,-19.5
2008-12,27117889,-17.9
2009-01,21133405,-34.5
2009-02,25397150,-18.5
2009-03,27890831,-22.5
2009-04,30326509,-19.9
2009-05,27823839,-29.4
2009-06,32210048,-13.6
2009-07,31908462,-22.1
2009-08,28949627,-20.9
2009-09,33922429,-9.4
2009-10,33970032,-8.5
2009-11,33991607,17.9
2009-12,36009623,32.8
2010-01,30735415,45.4
2010-02,33039402,30.1
2010-03,37308940,33.8
2010-04,39301014,29.6
2010-05,38887930,39.8
2010-06,42049045,30.5
2010-07,40423611,26.7
2010-08,36480955,26.0
2010-09,39410882,16.2
2010-10,43340335,27.6
2010-11,41260912,21.4
2010-12,44145320,22.6
2011-01,44465366,44.7
2011-02,38467412,16.4
2011-03,48052991,28.8
2011-04,48536725,23.5
2011-05,47331329,21.7
2011-06,46736893,11.1
2011-07,48950113,21.1
2011-08,45792061,25.5
2011-09,46510965,18.0
2011-10,46613480,7.6
2011-11,46012595,11.5
2011-12,47743725,8.2
2012-01,41200358,-7.3
2012-02,46316184,20.4
2012-03,47329817,-1.5
2012-04,46094754,-5.0
2012-05,46872357,-1.0
2012-06,47162605,0.9
2012-07,44667681,-8.7
2012-08,43045181,-6.0
2012-09,45412538,-2.4
2012-10,47087760,1.0
2012-11,47805246,3.9
2012-12,44875311,-6.0
2013-01,45673109,10.9
2013-02,42331837,-8.6
2013-03,47312704,-0.0
2013-04,46157925,0.1
2013-05,48307560,3.1
2013-06,46690983,-1.0
2013-07,45829521,2.6
2013-08,46311341,7.6
2013-09,44650486,-1.7
2013-10,50480484,7.2
2013-11,47905028,0.2
2013-12,47981456,6.9
2014-01,45559632,-0.2
2014-02,42911735,1.4
2014-03,49064392,3.7
2014-04,50267448,8.9
2014-05,47577183,-1.5
2014-06,47827709,2.4
2014-07,48204545,5.2
2014-08,46108370,-0.4
2014-09,47446217,6.3
2014-10,51630657,2.3
2014-11,46605342,-2.7
2014-12,49461377,3.1
2015-01,45105389,-1.0
2015-02,41472191,-3.4
2015-03,46822771,-4.6
2015-04,46221931,-8.0
2015-05,42327311,-11.0
2015-06,46554512,-2.7
2015-07,45695747,-5.2
2015-08,39107399,-15.2
2015-09,43432312,-8.5
2015-10,43352046,-16.0
2015-11,44285052,-5.0
2015-12,42379843,-14.3
2016-01,36260420,-19.6
2016-02,35924541,-13.4
2016-03,43002468,-8.2
2016-04,41081553,-11.1
2016-05,39733794,-6.1
2016-06,45209071,-2.9
2016-07,40881700,-10.5
2016-08,40124791,2.6
2016-09,40846252,-6.0
2016-10,41983329,-3.2
2016-11,45309141,2.3
2016-12,45068880,6.3
2017-01,40257000,11.0
2017-02,43166536,20.2
2017-03,48637832,13.1
2017-04,50843799,23.8
2017-05,44926979,13.1
2017-06,51272452,13.4
2017-07,48830440,19.4
2017-08,47105569,17.4
2017-09,55115240,34.9
2017-10,44791239,6.7
2017-11,49707197,9.7
2017-12,49040139,8.8
2018-01,49221291,22.3
2018-02,44523530,3.1
2018-03,51309932,5.5
2018-04,49850235,-2.0
2018-05,50687750,12.8
2018-06,51079375,-0.4
2018-07,51810255,6.1
2018-08,51180449,8.7
2018-09,50650208,-8.1
2018-10,54860310,22.5
2018-11,51479530,3.6
2018-12,48206793,-1.7
2019-01,46168934,-6.2
2019-02,39481803,-11.3
2019-03,47003206,-8.4
2019-04,48781156,-2.1
2019-05,45703948,-9.8
2019-06,44008404,-13.8
2019-07,46078221,-11.1
2019-08,44020065,-14.0
2019-09,44629053,-11.9
2019-10,46648756,-15.0
2019-11,44040722,-14.5
2019-12,45668341,-5.3
2020-01,43103061,-6.6
2020-02,40911819,3.6
2020-03,46167204,-1.8
2020-04,36270183,-25.6
2020-05,34854511,-23.7
2020-06,39214071,-10.9
2020-07,42785144,-7.1
2020-08,39469231,-10.3
2020-09,47819948,7.1
2020-10,44818534,-3.9
2020-11,45751883,3.9
2020-12,51332449,12.4
2021-01,48006974,11.4
2021-02,44706907,9.3
2021-03,53690914,16.3
2021-04,51225991,41.2
2021-05,50725161,45.5
2021-06,54778905,39.7
2021-07,55461518,29.6
2021-08,53165104,34.7
2021-09,55913862,16.9
2021-10,55660373,24.2
2021-11,60330542,31.9
2021-12,60734117,18.3
2022-01,55455376,15.5
2022-02,54155835,21.1
2022-03,63786835,18.8
2022-04,57842816,12.9
2022-05,61591326,21.4
2022-06,57679934,5.3
2022-07,60241774,8.6
2022-08,56605950,6.5
2022-09,57176300,2.3
