# 한국은행 ECOS 721Y001 (월) · 회사채(3년,AA-) − 국고채(3년) · 2026-08-09 수집
연월,국고3,회사채AA-,AA스프레드
1995-05,14.81,14.9,0.09
1995-06,14.58,14.67,0.09
1995-07,14.09,14.17,0.08
1995-08,13.13,13.22,0.09
1995-09,12.82,12.91,0.09
1995-10,12.1,12.16,0.06
1995-11,11.92,11.99,0.07
1995-12,11.63,11.65,0.02
1996-01,11.94,12.01,0.07
1996-02,12.01,11.88,-0.13
1996-03,11.92,11.76,-0.16
1996-04,11.04,10.97,-0.07
1996-05,11.01,11.03,0.02
1996-06,11.51,11.55,0.04
1996-07,11.85,11.91,0.06
1996-08,12.27,12.34,0.07
1996-09,12.19,12.18,-0.01
1996-10,12.08,12.09,0.01
1996-11,12.12,12.17,0.05
1996-12,12.19,12.57,0.38
1997-01,12.17,12.15,-0.02
1997-02,12.1,12.17,0.07
1997-03,12.32,12.69,0.37
1997-04,12.4,12.5,0.1
1997-05,12.4,12.21,-0.19
1997-06,11.72,11.65,-0.07
1997-07,11.65,11.86,0.21
1997-08,11.65,12.11,0.46
1997-09,11.65,12.36,0.71
1997-10,11.65,12.53,0.88
1997-11,12.4,14.08,1.68
1997-12,14.96,24.31,9.35
1998-01,15.0,23.36,8.36
1998-02,15.0,19.78,4.78
1998-03,15.09,18.98,3.89
1998-04,17.13,18.1,0.97
1998-05,16.86,17.89,1.03
1998-06,15.04,16.64,1.6
1998-07,12.57,13.69,1.12
1998-08,11.72,12.38,0.66
1998-09,11.84,12.51,0.67
1998-10,9.4,10.01,0.61
1998-11,8.34,9.6,1.26
1998-12,7.23,8.3,1.07
1999-01,6.67,7.89,1.22
1999-02,7.08,8.56,1.48
1999-03,6.81,8.55,1.74
1999-04,6.37,7.56,1.19
1999-05,6.75,8.32,1.57
1999-06,6.88,8.06,1.18
1999-07,7.89,8.58,0.69
1999-08,8.91,9.88,0.97
1999-09,9.33,10.41,1.08
1999-10,8.28,9.12,0.84
1999-11,8.46,9.53,1.07
1999-12,8.85,9.85,1.0
2000-01,9.28,10.25,0.97
2000-02,8.99,10.01,1.02
2000-03,9.06,10.0,0.94
2000-04,8.95,9.97,1.02
2000-05,8.96,9.91,0.95
2000-06,8.66,9.72,1.06
2000-07,8.0,9.13,1.13
2000-08,7.85,9.0,1.15
2000-09,7.96,9.0,1.04
2000-10,7.84,8.72,0.88
2000-11,7.31,8.42,1.11
2000-12,6.79,8.12,1.33
2001-01,5.99,7.76,1.77
2001-02,5.43,6.79,1.36
2001-03,5.84,7.16,1.32
2001-04,6.59,7.91,1.32
2001-05,6.46,7.7,1.24
2001-06,6.04,7.24,1.2
2001-07,5.75,7.0,1.25
2001-08,5.15,6.51,1.36
2001-09,4.89,6.32,1.43
2001-10,4.74,6.31,1.57
2001-11,5.34,6.79,1.45
2001-12,5.93,7.11,1.18
2002-01,6.08,7.07,0.99
2002-02,5.92,6.89,0.97
2002-03,6.3,7.05,0.75
2002-04,6.47,7.2,0.73
2002-05,6.3,7.07,0.77
2002-06,5.93,6.76,0.83
2002-07,5.7,6.59,0.89
2002-08,5.37,6.23,0.86
2002-09,5.37,6.06,0.69
2002-10,5.39,6.01,0.62
2002-11,5.29,5.9,0.61
2002-12,5.28,5.88,0.6
2003-01,4.96,5.48,0.52
2003-02,4.73,5.25,0.52
2003-03,4.78,5.44,0.66
2003-04,4.6,5.39,0.79
2003-05,4.27,5.26,0.99
2003-06,4.07,5.28,1.21
2003-07,4.37,5.65,1.28
2003-08,4.62,5.87,1.25
2003-09,4.25,5.24,0.99
2003-10,4.28,5.18,0.9
2003-11,4.77,5.53,0.76
2003-12,4.87,5.61,0.74
2004-01,4.88,5.67,0.79
2004-02,4.83,5.63,0.8
2004-03,4.58,5.37,0.79
2004-04,4.54,5.29,0.75
2004-05,4.39,5.07,0.68
2004-06,4.28,4.91,0.63
2004-07,4.19,4.77,0.58
2004-08,3.82,4.38,0.56
2004-09,3.59,4.1,0.51
2004-10,3.54,4.01,0.47
2004-11,3.42,3.86,0.44
2004-12,3.28,3.73,0.45
2005-01,3.65,4.11,0.46
2005-02,4.19,4.63,0.44
2005-03,4.04,4.48,0.44
2005-04,3.86,4.28,0.42
2005-05,3.71,4.12,0.41
2005-06,3.79,4.18,0.39
2005-07,4.12,4.52,0.4
2005-08,4.33,4.75,0.42
2005-09,4.52,4.92,0.4
2005-10,4.81,5.2,0.39
2005-11,5.1,5.5,0.4
2005-12,5.06,5.49,0.43
2006-01,5.02,5.5,0.48
2006-02,4.87,5.33,0.46
2006-03,4.93,5.3,0.37
2006-04,4.95,5.24,0.29
2006-05,4.78,5.05,0.27
2006-06,4.89,5.17,0.28
2006-07,4.89,5.18,0.29
2006-08,4.77,5.1,0.33
2006-09,4.69,5.02,0.33
2006-10,4.62,4.93,0.31
2006-11,4.72,5.05,0.33
2006-12,4.82,5.18,0.36
2007-01,4.97,5.32,0.35
2007-02,4.91,5.28,0.37
2007-03,4.79,5.2,0.41
2007-04,4.94,5.34,0.4
2007-05,5.1,5.49,0.39
2007-06,5.24,5.64,0.4
2007-07,5.35,5.75,0.4
2007-08,5.28,5.7,0.42
2007-09,5.39,5.85,0.46
2007-10,5.42,5.98,0.56
2007-11,5.54,6.16,0.62
2007-12,5.89,6.73,0.84
2008-01,5.44,6.64,1.2
2008-02,5.06,6.27,1.21
2008-03,5.15,6.13,0.98
2008-04,4.98,5.91,0.93
2008-05,5.28,6.22,0.94
2008-06,5.7,6.68,0.98
2008-07,5.96,6.99,1.03
2008-08,5.77,7.11,1.34
2008-09,5.81,7.46,1.65
2008-10,5.09,7.95,2.86
2008-11,4.97,8.56,3.59
2008-12,3.97,8.35,4.38
2009-01,3.44,7.34,3.9
2009-02,3.78,7.07,3.29
2009-03,3.69,6.14,2.45
2009-04,3.76,5.68,1.92
2009-05,3.83,5.16,1.33
2009-06,4.09,5.21,1.12
2009-07,4.09,5.46,1.37
2009-08,4.42,5.74,1.32
2009-09,4.4,5.58,1.18
2009-10,4.47,5.6,1.13
2009-11,4.32,5.43,1.11
2009-12,4.24,5.35,1.11
2010-01,4.29,5.4,1.11
2010-02,4.19,5.32,1.13
2010-03,3.94,5.02,1.08
2010-04,3.77,4.69,0.92
2010-05,3.7,4.48,0.78
2010-06,3.75,4.65,0.9
2010-07,3.88,4.81,0.93
2010-08,3.73,4.68,0.95
2010-09,3.48,4.41,0.93
2010-10,3.24,4.13,0.89
2010-11,3.4,4.19,0.79
2010-12,3.25,4.17,0.92
2011-01,3.71,4.52,0.81
2011-02,3.94,4.72,0.78
2011-03,3.74,4.54,0.8
2011-04,3.74,4.54,0.8
2011-05,3.66,4.44,0.78
2011-06,3.65,4.4,0.75
2011-07,3.77,4.48,0.71
2011-08,3.57,4.29,0.72
2011-09,3.45,4.24,0.79
2011-10,3.47,4.29,0.82
2011-11,3.39,4.24,0.85
2011-12,3.36,4.24,0.88
2012-01,3.37,4.24,0.87
2012-02,3.43,4.25,0.82
2012-03,3.55,4.36,0.81
2012-04,3.5,4.25,0.75
2012-05,3.38,4.01,0.63
2012-06,3.29,3.87,0.58
2012-07,3.01,3.6,0.59
2012-08,2.83,3.4,0.57
2012-09,2.81,3.31,0.5
2012-10,2.78,3.3,0.52
2012-11,2.8,3.32,0.52
2012-12,2.85,3.3,0.45
2013-01,2.75,3.2,0.45
2013-02,2.7,3.06,0.36
2013-03,2.6,2.95,0.35
2013-04,2.55,2.91,0.36
2013-05,2.59,2.96,0.37
2013-06,2.87,3.24,0.37
2013-07,2.91,3.38,0.47
2013-08,2.94,3.33,0.39
2013-09,2.9,3.29,0.39
2013-10,2.83,3.25,0.42
2013-11,2.936,3.366,0.43
2013-12,2.941,3.36,0.419
2014-01,2.892,3.319,0.427
2014-02,2.854,3.28,0.426
2014-03,2.874,3.303,0.429
2014-04,2.875,3.303,0.428
2014-05,2.838,3.264,0.426
2014-06,2.746,3.168,0.422
2014-07,2.558,2.97,0.412
2014-08,2.54,2.926,0.386
2014-09,2.405,2.786,0.381
2014-10,2.239,2.595,0.356
2014-11,2.138,2.466,0.328
2014-12,2.143,2.46,0.317
2015-01,2.039,2.356,0.317
2015-02,2.024,2.3,0.276
2015-03,1.865,2.128,0.263
2015-04,1.739,1.988,0.249
2015-05,1.875,2.115,0.24
2015-06,1.773,2.012,0.239
2015-07,1.777,2.001,0.224
2015-08,1.735,1.98,0.245
2015-09,1.651,1.946,0.295
2015-10,1.627,1.962,0.335
2015-11,1.752,2.118,0.366
2015-12,1.719,2.143,0.424
2016-01,1.628,2.091,0.463
2016-02,1.474,1.95,0.476
2016-03,1.498,1.979,0.481
2016-04,1.468,1.94,0.472
2016-05,1.455,1.91,0.455
2016-06,1.334,1.789,0.455
2016-07,1.218,1.65,0.432
2016-08,1.238,1.645,0.407
2016-09,1.312,1.704,0.392
2016-10,1.361,1.781,0.42
2016-11,1.609,2.021,0.412
2016-12,1.692,2.162,0.47
2017-01,1.643,2.104,0.461
2017-02,1.665,2.13,0.465
2017-03,1.709,2.208,0.499
2017-04,1.678,2.195,0.517
2017-05,1.69,2.216,0.526
2017-06,1.673,2.208,0.535
2017-07,1.74,2.278,0.538
2017-08,1.78,2.32,0.54
2017-09,1.785,2.333,0.548
2017-10,2.026,2.574,0.548
2017-11,2.15,2.709,0.559
2017-12,2.1,2.649,0.549
2018-01,2.19,2.722,0.532
2018-02,2.277,2.815,0.538
2018-03,2.271,2.831,0.56
2018-04,2.192,2.794,0.602
2018-05,2.25,2.86,0.61
2018-06,2.175,2.805,0.63
2018-07,2.097,2.75,0.653
2018-08,2.019,2.656,0.637
2018-09,1.953,2.403,0.45
2018-10,2.01,2.452,0.442
2018-11,1.94,2.403,0.463
2018-12,1.825,2.304,0.479
2019-01,1.807,2.263,0.456
2019-02,1.802,2.249,0.447
2019-03,1.789,2.244,0.455
2019-04,1.736,2.207,0.471
2019-05,1.679,2.153,0.474
2019-06,1.496,2.004,0.508
2019-07,1.382,1.885,0.503
2019-08,1.164,1.689,0.525
2019-09,1.287,1.792,0.505
2019-10,1.357,1.861,0.504
2019-11,1.492,2.002,0.51
2019-12,1.39,1.948,0.558
2020-01,1.373,1.955,0.582
2020-02,1.253,1.847,0.594
2020-03,1.091,1.84,0.749
2020-04,1.024,2.145,1.121
2020-05,0.878,2.179,1.301
2020-06,0.85,2.218,1.368
2020-07,0.826,2.219,1.393
2020-08,0.829,2.192,1.363
2020-09,0.908,2.239,1.331
2020-10,0.91,2.239,1.329
2020-11,0.965,2.247,1.282
2020-12,0.97,2.211,1.241
2021-01,0.975,2.143,1.168
2021-02,0.995,2.055,1.06
2021-03,1.133,2.091,0.958
2021-04,1.138,1.983,0.845
2021-05,1.134,1.891,0.757
2021-06,1.302,1.913,0.611
2021-07,1.419,1.888,0.469
2021-08,1.411,1.838,0.427
2021-09,1.515,1.953,0.438
2021-10,1.842,2.302,0.46
2021-11,1.953,2.492,0.539
2021-12,1.8,2.41,0.61
2022-01,2.06,2.632,0.572
2022-02,2.285,2.873,0.588
2022-03,2.369,3.028,0.659
2022-04,2.941,3.631,0.69
2022-05,3.019,3.775,0.756
2022-06,3.477,4.233,0.756
2022-07,3.238,4.126,0.888
2022-08,3.247,4.227,0.98
2022-09,3.903,4.9,0.997
2022-10,4.235,5.436,1.201
2022-11,3.895,5.487,1.592
2022-12,3.63,5.302,1.672
2023-01,3.46,4.704,1.244
2023-02,3.47,4.274,0.804
2023-03,3.461,4.184,0.723
2023-04,3.263,4.072,0.809
2023-05,3.33,4.139,0.809
2023-06,3.548,4.356,0.808
2023-07,3.638,4.437,0.799
2023-08,3.727,4.5,0.773
2023-09,3.842,4.602,0.76
2023-10,4.031,4.827,0.796
2023-11,3.771,4.583,0.812
2023-12,3.35,4.076,0.726
2024-01,3.266,4.013,0.747
