# 유로존(EA21 · 2026년 정의, 1985-01 부터 소급) 소비자신뢰지수 · 잔차(balance, %) · 계절조정 · Eurostat ei_bsco_m BS-CSMCI · 받은 날 2026-09-15
date,value
1985-01,-10.4
1985-02,-10.9
1985-03,-11.8
1985-04,-10.9
1985-05,-11.4
1985-06,-11.9
1985-07,-11.6
1985-08,-11.3
1985-09,-11.0
1985-10,-8.3
1985-11,-8.0
1985-12,-8.3
1986-01,-5.7
1986-02,-5.1
1986-03,-4.4
1986-04,-4.9
1986-05,-5.3
1986-06,-4.1
1986-07,-4.1
1986-08,-3.2
1986-09,-3.3
1986-10,-2.7
1986-11,-3.1
1986-12,-3.5
1987-01,-3.4
1987-02,-4.2
1987-03,-4.3
1987-04,-4.6
1987-05,-5.4
1987-06,-6.0
1987-07,-5.9
1987-08,-5.9
1987-09,-4.4
1987-10,-4.8
1987-11,-5.9
1987-12,-5.4
1988-01,-5.4
1988-02,-5.0
1988-03,-4.7
1988-04,-3.8
1988-05,-4.5
1988-06,-4.6
1988-07,-5.0
1988-08,-3.8
1988-09,-3.2
1988-10,-2.1
1988-11,-1.5
1988-12,-2.0
1989-01,-2.2
1989-02,-2.9
1989-03,-3.1
1989-04,-3.5
1989-05,-4.0
1989-06,-2.8
1989-07,-2.2
1989-08,-2.3
1989-09,-1.4
1989-10,-1.3
1989-11,-1.2
1989-12,-0.5
1990-01,-0.8
1990-02,-0.9
1990-03,-1.7
1990-04,-1.1
1990-05,-2.0
1990-06,-1.9
1990-07,-1.7
1990-08,-2.1
1990-09,-7.2
1990-10,-7.3
1990-11,-5.8
1990-12,-5.4
1991-01,-8.6
1991-02,-9.1
1991-03,-6.1
1991-04,-6.7
1991-05,-6.2
1991-06,-7.4
1991-07,-9.7
1991-08,-10.1
1991-09,-8.4
1991-10,-8.8
1991-11,-8.6
1991-12,-8.7
1992-01,-9.8
1992-02,-8.8
1992-03,-9.4
1992-04,-10.7
1992-05,-11.5
1992-06,-11.5
1992-07,-11.3
1992-08,-12.3
1992-09,-14.1
1992-10,-15.3
1992-11,-16.0
1992-12,-16.8
1993-01,-17.5
1993-02,-17.1
1993-03,-17.7
1993-04,-15.7
1993-05,-15.9
1993-06,-17.9
1993-07,-17.9
1993-08,-17.5
1993-09,-16.8
1993-10,-17.4
1993-11,-17.9
1993-12,-16.3
1994-01,-16.4
1994-02,-14.6
1994-03,-13.1
1994-04,-10.8
1994-05,-8.7
1994-06,-7.2
1994-07,-7.5
1994-08,-6.7
1994-09,-5.8
1994-10,-6.0
1994-11,-6.4
1994-12,-6.9
1995-01,-7.0
1995-02,-7.3
1995-03,-7.5
1995-04,-6.8
1995-05,-6.1
1995-06,-6.2
1995-07,-6.8
1995-08,-7.1
1995-09,-8.2
1995-10,-9.1
1995-11,-9.4
1995-12,-10.5
1996-01,-11.1
1996-02,-11.7
1996-03,-11.0
1996-04,-11.6
1996-05,-11.0
1996-06,-11.0
1996-07,-11.9
1996-08,-11.0
1996-09,-11.1
1996-10,-11.5
1996-11,-12.0
1996-12,-11.6
1997-01,-10.3
1997-02,-11.1
1997-03,-11.0
1997-04,-10.7
1997-05,-10.1
1997-06,-9.3
1997-07,-8.8
1997-08,-7.6
1997-09,-6.8
1997-10,-7.0
1997-11,-6.5
1997-12,-7.0
1998-01,-7.0
1998-02,-6.5
1998-03,-5.1
1998-04,-5.7
1998-05,-4.8
1998-06,-5.0
1998-07,-3.1
1998-08,-3.7
1998-09,-3.6
1998-10,-2.6
1998-11,-2.1
1998-12,-2.8
1999-01,-2.3
1999-02,-2.5
1999-03,-3.8
1999-04,-4.8
1999-05,-5.2
1999-06,-4.7
1999-07,-4.1
1999-08,-3.6
1999-09,-3.5
1999-10,-1.6
1999-11,-1.5
1999-12,-1.4
2000-01,-0.4
2000-02,-0.7
2000-03,-0.5
2000-04,-0.8
2000-05,-0.5
2000-06,-1.9
2000-07,-1.0
2000-08,-0.7
2000-09,-3.7
2000-10,-2.7
2000-11,-1.7
2000-12,-1.5
2001-01,-1.2
2001-02,-2.4
2001-03,-2.2
2001-04,-3.2
