# FOMC 경제전망요약(SEP) 중앙값 (%) — 점도표의 중앙값이다
# Source: 연준 fomcprojtabl<회의일>.htm
# «당해»는 그 전망이 나온 해의 연말 기준이다. 회의마다 기준 연도가 옮겨간다.
# «장기»는 Longer run — 연준이 보는 중립금리다.
# Range: 2015-09-17 ~ 2026-06-17 (42회) | scripts/fed_official.py
date,정책금리_당해말,정책금리_1년후,정책금리_2년후,정책금리_장기,성장률_당해,실업률_당해,물가_당해,근원물가_당해
2015-09-17,0.4,1.4,2.6,3.5,2.1,5.0,0.4,1.4
2015-12-16,0.4,1.4,2.4,3.5,2.1,5.0,0.4,1.3
2016-03-16,0.9,1.9,3.0,3.3,2.2,4.7,1.2,1.6
2016-06-15,0.9,1.6,2.4,3.0,2.0,4.7,1.4,1.7
2016-09-21,0.6,1.1,1.9,2.9,1.8,4.8,1.3,1.7
2016-12-14,0.6,1.4,2.1,3.0,1.9,4.7,1.5,1.7
2017-03-15,1.4,2.1,3.0,3.0,2.1,4.5,1.9,1.9
2017-06-14,1.4,2.1,2.9,3.0,2.2,4.3,1.6,1.7
2017-09-20,1.4,2.1,2.7,2.8,2.4,4.3,1.6,1.5
2017-12-13,1.4,2.1,2.7,2.8,2.5,4.1,1.7,1.5
2018-03-21,2.1,2.9,3.4,2.9,2.7,3.8,1.9,1.9
2018-06-13,2.4,3.1,3.4,2.9,2.8,3.6,2.1,2.0
2018-09-26,2.4,3.1,3.4,3.0,3.1,3.7,2.1,2.0
2018-12-19,2.4,2.9,3.1,2.8,3.0,3.7,1.9,1.9
2019-03-20,2.4,2.6,2.6,2.8,2.1,3.7,1.8,2.0
2019-06-19,2.4,2.1,2.4,2.5,2.1,3.6,1.5,1.8
2019-09-18,1.9,1.9,2.1,2.5,2.2,3.7,1.5,1.8
2019-12-11,1.6,1.6,1.9,2.5,2.2,3.6,1.5,1.6
2020-06-10,0.1,0.1,0.1,2.5,-6.5,9.3,0.8,1.0
2020-09-16,0.1,0.1,0.1,2.5,-3.7,7.6,1.2,1.5
2020-12-16,0.1,0.1,0.1,2.5,-2.4,6.7,1.2,1.4
2021-03-17,0.1,0.1,0.1,2.5,6.5,4.5,2.4,2.2
2021-06-16,0.1,0.1,0.6,2.5,7.0,4.5,3.4,3.0
2021-09-22,0.1,0.3,1.0,2.5,5.9,4.8,4.2,3.7
2021-12-15,0.1,0.9,1.6,2.5,5.5,4.3,5.3,4.4
2022-06-15,3.4,3.8,3.4,2.5,1.7,3.7,5.2,4.3
2022-09-21,4.4,4.6,3.9,2.5,0.2,3.8,5.4,4.5
2022-12-14,4.4,5.1,4.1,2.5,0.5,3.7,5.6,4.8
2023-03-22,5.1,4.3,3.1,2.5,0.4,4.5,3.3,3.6
2023-06-14,5.6,4.6,3.4,2.5,1.0,4.1,3.2,3.9
2023-09-20,5.6,5.1,3.9,2.5,2.1,3.8,3.3,3.7
2023-12-13,5.4,4.6,3.6,2.5,2.6,3.8,2.8,3.2
2024-03-20,4.6,3.9,3.1,2.6,2.1,4.0,2.4,2.6
2024-06-12,5.1,4.1,3.1,2.8,2.1,4.0,2.6,2.8
2024-09-18,4.4,3.4,2.9,2.9,2.0,4.4,2.3,2.6
2024-12-18,4.4,3.9,3.4,3.0,2.5,4.2,2.4,2.8
2025-03-19,3.9,3.4,3.1,3.0,1.7,4.4,2.7,2.8
2025-06-18,3.9,3.6,3.4,3.0,1.4,4.5,3.0,3.1
2025-09-17,3.6,3.4,3.1,3.0,1.6,4.5,3.0,3.1
2025-12-10,3.6,3.4,3.1,3.0,1.7,4.5,2.9,3.0
2026-03-18,3.4,3.1,3.1,3.1,2.4,4.4,2.7,2.7
2026-06-17,3.8,3.6,3.4,3.1,2.2,4.3,3.6,3.3
