# 연준 통화정책 보도자료 월별 건수 (건)
# Source: 연준 newsevents/pressreleases/<연도>-press.htm 의 monetary 건
# 위기에 몰린다 — 2020년 3월처럼. 제목·링크 전문은 FED_보도자료_통화정책.csv 에 있다.
# Range: 2016-01 ~ 2026-08 | scripts/fed_official.py
date,건수
2016-01,4
2016-02,5
2016-03,2
2016-04,3
2016-05,4
2016-06,4
2016-07,3
2016-08,4
2016-09,2
2016-10,4
2016-11,3
2016-12,3
2017-01,2
2017-02,5
2017-03,5
2017-04,2
2017-05,6
2017-06,5
2017-07,3
2017-08,4
2017-09,2
2017-10,4
2017-11,3
2017-12,3
2018-01,5
2018-02,2
2018-03,3
2018-04,2
2018-05,6
2018-06,3
2018-07,2
2018-08,5
2018-09,3
2018-10,2
2018-11,3
2018-12,5
2019-01,5
2019-02,2
2019-03,3
2019-04,2
2019-05,6
2019-06,2
2019-07,3
2019-08,5
2019-09,4
2019-10,5
2019-11,2
2019-12,2
2020-01,2
2020-02,2
2020-03,15
2020-04,10
2020-05,4
2020-06,6
2020-07,7
2020-08,4
2020-09,1
2020-10,3
2020-11,2
2020-12,5
2021-01,2
2021-02,2
2021-03,1
2021-04,2
2021-05,2
2021-06,5
2021-07,2
2021-08,2
2021-09,0
2021-10,2
2021-11,2
2021-12,0
2022-01,2
2022-02,2
2022-03,1
2022-04,2
2022-05,2
2022-06,3
2022-07,4
2022-08,2
2022-09,1
2022-10,2
2022-11,3
2022-12,0
2023-01,2
2023-02,2
2023-03,3
2023-04,2
2023-05,2
2023-06,1
2023-07,2
2023-08,2
2023-09,0
2023-10,3
2023-11,2
2023-12,0
2024-01,3
2024-02,2
2024-03,0
2024-04,2
2024-05,2
2024-06,0
2024-07,2
2024-08,3
2024-09,0
2024-10,2
2024-11,2
2024-12,1
2025-01,2
2025-02,2
2025-03,0
2025-04,2
2025-05,1
2025-06,1
2025-07,2
2025-08,3
2025-09,1
2025-10,2
2025-11,2
2025-12,1
2026-01,1
2026-02,2
2026-03,0
2026-04,2
2026-05,2
2026-06,0
2026-07,3
2026-08,2
