# FOMC 정책금리 목표 (%, 그 달 말 기준) · 당시 연준 의장
# Source: 연준 openmarket.htm + openmarket_archive.htm · 변경 109건
# 의장은 aboutthefed/bios/board/boardmembership.htm 에서 확인했다(2026-08-29).
# 2008-12 이전은 단일 목표라 하단=상단이다. 그 뒤로 범위가 됐다.
# Range: 1990-07 ~ 2026-09 | scripts/fed_official.py
date,목표하단,목표상단,의장
1990-07,8.00,8.00,앨런 그린스펀
1990-08,8.00,8.00,앨런 그린스펀
1990-09,8.00,8.00,앨런 그린스펀
1990-10,7.75,7.75,앨런 그린스펀
1990-11,7.50,7.50,앨런 그린스펀
1990-12,7.00,7.00,앨런 그린스펀
1991-01,6.75,6.75,앨런 그린스펀
1991-02,6.25,6.25,앨런 그린스펀
1991-03,6.00,6.00,앨런 그린스펀
1991-04,5.75,5.75,앨런 그린스펀
1991-05,5.75,5.75,앨런 그린스펀
1991-06,5.75,5.75,앨런 그린스펀
1991-07,5.75,5.75,앨런 그린스펀
1991-08,5.50,5.50,앨런 그린스펀
1991-09,5.25,5.25,앨런 그린스펀
1991-10,5.00,5.00,앨런 그린스펀
1991-11,4.75,4.75,앨런 그린스펀
1991-12,4.00,4.00,앨런 그린스펀
1992-01,4.00,4.00,앨런 그린스펀
1992-02,4.00,4.00,앨런 그린스펀
1992-03,4.00,4.00,앨런 그린스펀
1992-04,3.75,3.75,앨런 그린스펀
1992-05,3.75,3.75,앨런 그린스펀
1992-06,3.75,3.75,앨런 그린스펀
1992-07,3.25,3.25,앨런 그린스펀
1992-08,3.25,3.25,앨런 그린스펀
1992-09,3.00,3.00,앨런 그린스펀
1992-10,3.00,3.00,앨런 그린스펀
1992-11,3.00,3.00,앨런 그린스펀
1992-12,3.00,3.00,앨런 그린스펀
1993-01,3.00,3.00,앨런 그린스펀
1993-02,3.00,3.00,앨런 그린스펀
1993-03,3.00,3.00,앨런 그린스펀
1993-04,3.00,3.00,앨런 그린스펀
1993-05,3.00,3.00,앨런 그린스펀
1993-06,3.00,3.00,앨런 그린스펀
1993-07,3.00,3.00,앨런 그린스펀
1993-08,3.00,3.00,앨런 그린스펀
1993-09,3.00,3.00,앨런 그린스펀
1993-10,3.00,3.00,앨런 그린스펀
1993-11,3.00,3.00,앨런 그린스펀
1993-12,3.00,3.00,앨런 그린스펀
1994-01,3.00,3.00,앨런 그린스펀
1994-02,3.25,3.25,앨런 그린스펀
1994-03,3.50,3.50,앨런 그린스펀
1994-04,3.75,3.75,앨런 그린스펀
1994-05,4.25,4.25,앨런 그린스펀
1994-06,4.25,4.25,앨런 그린스펀
1994-07,4.25,4.25,앨런 그린스펀
1994-08,4.75,4.75,앨런 그린스펀
1994-09,4.75,4.75,앨런 그린스펀
1994-10,4.75,4.75,앨런 그린스펀
1994-11,5.50,5.50,앨런 그린스펀
1994-12,5.50,5.50,앨런 그린스펀
1995-01,5.50,5.50,앨런 그린스펀
