# 장기국채종합(잔존 10년 초과 평균) · FRED LTGOVTBD · 2026-08-22
# 연준 G.13 원문: Unweighted average on all outstanding bonds neither due nor
#   callable in less than 10 years. 10년물이 아니다. 30년물과 281개월 검량에서
#   차이 중앙 -0.010%p 라 «30년물의 조상»으로 읽는다.
date,value
1925-01,3.96
1925-02,3.95
1925-03,3.96
1925-04,3.93
1925-05,3.87
1925-06,3.79
1925-07,3.79
1925-08,3.85
1925-09,3.85
1925-10,3.82
1925-11,3.79
1925-12,3.80
1926-01,3.77
1926-02,3.71
1926-03,3.71
1926-04,3.70
1926-05,3.67
1926-06,3.67
1926-07,3.68
1926-08,3.70
1926-09,3.70
1926-10,3.68
1926-11,3.62
1926-12,3.56
1927-01,3.51
1927-02,3.48
1927-03,3.37
1927-04,3.35
1927-05,3.31
1927-06,3.34
1927-07,3.36
1927-08,3.32
1927-09,3.30
1927-10,3.29
1927-11,3.23
1927-12,3.17
1928-01,3.18
1928-02,3.19
1928-03,3.17
1928-04,3.20
1928-05,3.24
1928-06,3.29
1928-07,3.42
1928-08,3.48
1928-09,3.46
1928-10,3.47
1928-11,3.38
1928-12,3.45
1929-01,3.52
1929-02,3.62
1929-03,3.74
1929-04,3.64
1929-05,3.64
1929-06,3.69
1929-07,3.64
1929-08,3.71
1929-09,3.70
1929-10,3.61
1929-11,3.35
1929-12,3.36
1930-01,3.43
1930-02,3.41
1930-03,3.29
1930-04,3.37
1930-05,3.31
1930-06,3.25
1930-07,3.25
1930-08,3.26
1930-09,3.24
1930-10,3.21
1930-11,3.19
1930-12,3.22
1931-01,3.20
1931-02,3.30
1931-03,3.27
1931-04,3.26
1931-05,3.16
1931-06,3.13
1931-07,3.15
1931-08,3.18
1931-09,3.25
1931-10,3.63
1931-11,3.63
1931-12,3.93
1932-01,4.26
1932-02,4.11
1932-03,3.92
1932-04,3.68
1932-05,3.76
1932-06,3.76
1932-07,3.58
1932-08,3.45
1932-09,3.42
1932-10,3.43
1932-11,3.45
1932-12,3.35
1933-01,3.22
1933-02,3.31
1933-03,3.42
1933-04,3.42
1933-05,3.30
1933-06,3.21
1933-07,3.20
1933-08,3.21
1933-09,3.19
1933-10,3.22
1933-11,3.46
1933-12,3.53
1934-01,3.50
1934-02,3.32
1934-03,3.20
1934-04,3.11
1934-05,3.02
1934-06,2.98
1934-07,2.92
1934-08,3.03
1934-09,3.20
1934-10,3.10
1934-11,3.07
1934-12,3.01
1935-01,2.88
1935-02,2.79
1935-03,2.77
1935-04,2.74
1935-05,2.72
1935-06,2.72
1935-07,2.69
1935-08,2.76
1935-09,2.85
1935-10,2.85
1935-11,2.83
1935-12,2.84
1936-01,2.81
1936-02,2.78
1936-03,2.73
1936-04,2.70
1936-05,2.68
1936-06,2.69
1936-07,2.68
1936-08,2.64
1936-09,2.65
1936-10,2.68
1936-11,2.60
1936-12,2.59
1937-01,2.57
1937-02,2.54
1937-03,2.66
1937-04,2.83
1937-05,2.80
1937-06,2.81
1937-07,2.78
1937-08,2.78
1937-09,2.82
1937-10,2.82
1937-11,2.78
1937-12,2.73
1938-01,2.69
1938-02,2.68
1938-03,2.67
1938-04,2.66
1938-05,2.56
1938-06,2.58
1938-07,2.58
1938-08,2.57
1938-09,2.63
1938-10,2.55
1938-11,2.56
1938-12,2.56
1939-01,2.54
1939-02,2.51
1939-03,2.43
1939-04,2.38
1939-05,2.27
1939-06,2.22
1939-07,2.23
1939-08,2.27
1939-09,2.67
1939-10,2.60
1939-11,2.46
1939-12,2.35
1940-01,2.30
1940-02,2.32
1940-03,2.26
1940-04,2.26
1940-05,2.39
1940-06,2.40
1940-07,2.30
1940-08,2.31
1940-09,2.25
1940-10,2.21
1940-11,2.09
1940-12,2.01
1941-01,2.12
1941-02,2.22
1941-03,2.12
1941-04,2.07
1941-05,2.04
1941-06,2.01
1941-07,1.98
1941-08,2.01
1941-09,2.02
1941-10,1.98
1941-11,2.34
1941-12,2.47
1942-01,2.48
1942-02,2.48
1942-03,2.46
1942-04,2.44
1942-05,2.45
1942-06,2.43
1942-07,2.46
1942-08,2.47
1942-09,2.46
1942-10,2.45
1942-11,2.47
1942-12,2.49
1943-01,2.46
1943-02,2.46
1943-03,2.48
1943-04,2.48
1943-05,2.46
1943-06,2.45
1943-07,2.45
1943-08,2.46
1943-09,2.48
1943-10,2.48
1943-11,2.48
1943-12,2.49
1944-01,2.49
1944-02,2.49
1944-03,2.48
1944-04,2.48
1944-05,2.49
1944-06,2.49
1944-07,2.49
1944-08,2.48
1944-09,2.47
1944-10,2.48
1944-11,2.48
1944-12,2.48
1945-01,2.44
1945-02,2.38
1945-03,2.40
1945-04,2.39
1945-05,2.39
1945-06,2.35
1945-07,2.34
1945-08,2.36
1945-09,2.37
1945-10,2.35
1945-11,2.33
1945-12,2.33
1946-01,2.21
1946-02,2.12
1946-03,2.09
1946-04,2.08
