# ISM 제조업 PMI 월별 1990-01 ~ 2026-07 · 439개월
# 화면 출처 MacroMicro en.macromicro.me/.../54/ism (무료·로그인 불필요) · 2026-08-06 확인
# 원출처 Institute for Supply Management
#
# ★ 이것은 «발표 당시» 계열로 보인다 (as-released)
#   2025-08~11 이 48.7·49.1·48.7·48.2 인데 ISM 공식표(최신 계절조정)는
#   48.9·48.9·48.8·48.0 이다. 발표 당시 값과 지금 표의 값이 다른 것.
#   백테스트에는 **발표 당시 값이 옳다** — 그때 시장이 본 숫자이기 때문이다.
#   반대로 «지금 몇인가»를 말할 때는 ISM 공식표를 써야 한다.
#
# ⚠ 빈티지 차이는 대체로 0.1~0.7p 다. 수준을 인용할 땐 출처를 밝히고,
#   국면(방향) 판정에는 영향이 거의 없다는 것을 따로 확인할 것.
date,value
1990-01,47.2
1990-02,49.1
1990-03,49.9
1990-04,50.0
1990-05,49.5
1990-06,49.2
1990-07,46.6
1990-08,46.1
1990-09,44.5
1990-10,43.2
1990-11,41.3
1990-12,40.8
1991-01,39.2
1991-02,39.4
1991-03,40.7
1991-04,42.8
1991-05,44.5
1991-06,50.3
1991-07,50.6
1991-08,52.9
1991-09,54.9
1991-10,53.1
1991-11,49.5
1991-12,46.8
1992-01,47.3
1992-02,52.7
1992-03,54.6
1992-04,52.6
1992-05,55.7
1992-06,53.6
1992-07,53.9
1992-08,53.4
1992-09,49.7
1992-10,50.3
1992-11,53.6
1992-12,54.2
1993-01,55.8
1993-02,55.2
1993-03,53.5
1993-04,50.2
1993-05,51.2
1993-06,49.6
1993-07,50.2
1993-08,50.7
1993-09,50.8
1993-10,53.4
1993-11,53.8
1993-12,55.6
1994-01,56.0
1994-02,56.5
1994-03,56.9
1994-04,57.4
1994-05,58.2
1994-06,58.8
1994-07,58.5
1994-08,58.0
1994-09,59.0
1994-10,59.4
1994-11,59.2
1994-12,56.1
1995-01,57.4
1995-02,55.1
1995-03,52.1
1995-04,51.5
1995-05,46.7
1995-06,45.9
1995-07,50.7
1995-08,47.1
1995-09,48.1
1995-10,46.7
1995-11,45.9
1995-12,46.2
1996-01,45.5
1996-02,45.9
1996-03,46.9
1996-04,49.3
1996-05,49.1
1996-06,53.6
1996-07,49.7
1996-08,51.6
1996-09,51.1
1996-10,50.5
1996-11,53.0
1996-12,55.2
1997-01,53.8
1997-02,53.1
1997-03,53.8
1997-04,53.7
1997-05,56.1
1997-06,54.9
1997-07,57.7
1997-08,56.3
1997-09,53.9
1997-10,56.4
1997-11,55.7
1997-12,54.5
1998-01,53.8
1998-02,52.9
1998-03,52.9
1998-04,52.2
1998-05,50.9
1998-06,48.9
1998-07,49.2
1998-08,49.3
1998-09,48.7
1998-10,48.7
1998-11,48.2
1998-12,46.8
1999-01,50.6
1999-02,51.7
1999-03,52.4
1999-04,52.3
1999-05,54.3
1999-06,55.8
1999-07,53.6
1999-08,54.8
1999-09,57.0
1999-10,57.2
1999-11,58.1
1999-12,57.8
2000-01,56.7
2000-02,55.8
2000-03,54.9
2000-04,54.7
2000-05,53.2
2000-06,51.4
2000-07,52.5
2000-08,49.9
2000-09,49.7
2000-10,48.7
2000-11,48.5
2000-12,43.9
2001-01,42.3
2001-02,42.1
2001-03,43.1
