# ISM 제조업 PMI 월별 (계절조정) — 취합본
# 만든 날 2026-08-06 · scripts/ism_pmi.py
# 원출처 Institute for Supply Management (ISM)
# 우선순위  ISM 공식(ismworld.org, 최근 12개월) > TradingEconomics 10년 화면
# DBnomics 는 옛 빈티지 + 끝 4개월 손상이라 정본에서 뺐다(대조용만)
# ⚠ ISM 은 매년 계절조정 인자를 갱신한다. 당시 발표치와 다를 수 있다.
date,value,source
2016-08,49.7,TE(현재빈티지)
2016-09,51.0,TE(현재빈티지)
2016-10,51.8,TE(현재빈티지)
2016-11,53.3,TE(현재빈티지)
2016-12,54.2,TE(현재빈티지)
2017-01,55.7,TE(현재빈티지)
2017-02,57.7,TE(현재빈티지)
2017-03,56.8,TE(현재빈티지)
2017-04,55.7,TE(현재빈티지)
2017-05,56.4,TE(현재빈티지)
2017-06,56.1,TE(현재빈티지)
2017-07,56.5,TE(현재빈티지)
2017-08,58.5,TE(현재빈티지)
2017-09,59.9,TE(현재빈티지)
2017-10,58.6,TE(현재빈티지)
2017-11,57.9,TE(현재빈티지)
2017-12,59.2,TE(현재빈티지)
2018-01,59.4,TE(현재빈티지)
2018-02,60.8,TE(현재빈티지)
2018-03,59.2,TE(현재빈티지)
2018-04,58.6,TE(현재빈티지)
2018-05,58.9,TE(현재빈티지)
2018-06,59.7,TE(현재빈티지)
2018-07,58.0,TE(현재빈티지)
2018-08,60.4,TE(현재빈티지)
2018-09,59.5,TE(현재빈티지)
2018-10,58.3,TE(현재빈티지)
2018-11,58.7,TE(현재빈티지)
2018-12,54.8,TE(현재빈티지)
2019-01,55.7,TE(현재빈티지)
2019-02,54.2,TE(현재빈티지)
2019-03,55.3,TE(현재빈티지)
2019-04,53.6,TE(현재빈티지)
2019-05,52.2,TE(현재빈티지)
2019-06,51.3,TE(현재빈티지)
2019-07,51.0,TE(현재빈티지)
2019-08,48.4,TE(현재빈티지)
2019-09,48.3,TE(현재빈티지)
2019-10,48.3,TE(현재빈티지)
2019-11,48.2,TE(현재빈티지)
2019-12,47.7,TE(현재빈티지)
2020-01,51.1,TE(현재빈티지)
2020-02,50.3,TE(현재빈티지)
2020-03,49.7,TE(현재빈티지)
2020-04,41.7,TE(현재빈티지)
2020-05,43.1,TE(현재빈티지)
2020-06,52.2,TE(현재빈티지)
2020-07,53.7,TE(현재빈티지)
2020-08,55.6,TE(현재빈티지)
2020-09,55.7,TE(현재빈티지)
2020-10,58.8,TE(현재빈티지)
2020-11,57.7,TE(현재빈티지)
2020-12,60.5,TE(현재빈티지)
2021-01,58.7,TE(현재빈티지)
2021-02,60.8,TE(현재빈티지)
2021-03,64.7,TE(현재빈티지)
2021-04,60.7,TE(현재빈티지)
2021-05,61.2,TE(현재빈티지)
2021-06,60.6,TE(현재빈티지)
2021-07,59.5,TE(현재빈티지)
2021-08,59.9,TE(현재빈티지)
2021-09,61.1,TE(현재빈티지)
2021-10,60.8,TE(현재빈티지)
2021-11,60.8,TE(현재빈티지)
2021-12,58.6,TE(현재빈티지)
2022-01,57.6,TE(현재빈티지)
2022-02,58.4,TE(현재빈티지)
2022-03,57.0,TE(현재빈티지)
2022-04,55.9,TE(현재빈티지)
2022-05,56.1,TE(현재빈티지)
2022-06,53.1,TE(현재빈티지)
2022-07,52.7,TE(현재빈티지)
2022-08,52.9,TE(현재빈티지)
2022-09,51.0,TE(현재빈티지)
2022-10,50.0,TE(현재빈티지)
2022-11,49.0,TE(현재빈티지)
2022-12,48.4,TE(현재빈티지)
2023-01,47.4,TE(현재빈티지)
2023-02,47.7,TE(현재빈티지)
2023-03,46.3,TE(현재빈티지)
2023-04,47.1,TE(현재빈티지)
2023-05,46.9,TE(현재빈티지)
2023-06,46.0,TE(현재빈티지)
2023-07,46.4,TE(현재빈티지)
2023-08,47.6,TE(현재빈티지)
2023-09,49.0,TE(현재빈티지)
2023-10,46.7,TE(현재빈티지)
2023-11,46.6,TE(현재빈티지)
2023-12,47.1,TE(현재빈티지)
2024-01,49.1,TE(현재빈티지)
2024-02,47.6,TE(현재빈티지)
2024-03,49.8,TE(현재빈티지)
2024-04,48.8,TE(현재빈티지)
2024-05,48.5,TE(현재빈티지)
2024-06,48.3,TE(현재빈티지)
2024-07,47.0,TE(현재빈티지)
2024-08,47.5,TE(현재빈티지)
2024-09,47.5,TE(현재빈티지)
2024-10,46.9,TE(현재빈티지)
2024-11,48.4,TE(현재빈티지)
2024-12,49.2,TE(현재빈티지)
2025-01,50.9,TE(현재빈티지)
2025-02,50.0,TE(현재빈티지)
2025-03,48.9,TE(현재빈티지)
2025-04,48.8,TE(현재빈티지)
2025-05,48.6,TE(현재빈티지)
2025-06,49.0,TE(현재빈티지)
2025-07,48.4,TE(현재빈티지)
2025-08,48.9,ISM공식
2025-09,48.9,ISM공식
2025-10,48.8,ISM공식
2025-11,48.0,ISM공식
2025-12,47.9,ISM공식
2026-01,52.6,ISM공식
2026-02,52.4,ISM공식
2026-03,52.7,ISM공식
2026-04,52.7,ISM공식
2026-05,54.0,ISM공식
2026-06,53.3,ISM공식
2026-07,55.6,ISM공식
