일자,신용거래융자_전체,신용거래융자_유가증권,신용거래융자_코스닥,신용거래대주_전체,신용거래대주_유가증권,신용거래대주_코스닥,청약자금대출,예탁증권담보융자
19980130,0,0,0,0,0,0,0,0
19980618,0,0,0,0,0,0,0,0
19980619,0,0,0,0,0,0,0,0
19980620,0,0,0,0,0,0,0,0
19980622,0,0,0,0,0,0,0,0
19980623,0,0,0,0,0,0,0,0
19980624,0,0,0,0,0,0,0,0
19980625,0,0,0,0,0,0,0,0
19980626,0,0,0,0,0,0,0,0
19980627,0,0,0,0,0,0,0,0
19980629,0,0,0,0,0,0,0,0
19980630,0,0,0,0,0,0,0,0
19980701,253685,253685,0,769,769,0,0,0
19980702,249702,249702,0,828,828,0,0,0
19980703,247065,247065,0,696,696,0,0,0
19980704,241267,241267,0,735,735,0,0,0
19980706,0,0,0,0,0,0,0,0
19980707,235740,235740,0,791,791,0,0,0
19980708,232993,232993,0,764,764,0,0,0
19980709,232738,232738,0,783,783,0,0,0
19980710,229995,229995,0,792,792,0,0,0
19980711,228745,228745,0,762,762,0,0,0
19980713,0,0,0,0,0,0,0,0
19980714,224999,224999,0,704,704,0,0,0
19980715,223035,223035,0,700,700,0,0,0
19980716,222873,222873,0,721,721,0,0,0
19980718,223345,223345,0,721,721,0,0,0
19980720,221723,221723,0,703,703,0,0,0
19980721,221440,221440,0,683,683,0,0,0
19980722,220764,220764,0,920,920,0,0,0
19980723,223015,223015,0,905,905,0,0,0
19980724,227343,227343,0,668,668,0,0,0
19980725,227876,227876,0,595,595,0,0,0
19980727,0,0,0,0,0,0,0,0
19980728,230531,230531,0,526,526,0,0,0
19980729,232243,232243,0,564,564,0,0,0
19980730,231741,231741,0,565,565,0,0,0
19980731,232137,232137,0,616,616,0,0,0
19980801,232864,232864,0,680,680,0,0,0
19980803,234064,234064,0,911,911,0,0,0
19980804,234988,234988,0,786,786,0,0,0
19980805,234176,234176,0,596,596,0,0,0
19980806,234003,234003,0,594,594,0,0,0
19980807,231201,231201,0,661,661,0,0,0
19980808,231461,231461,0,653,653,0,0,0
19980810,231447,231447,0,634,634,0,0,0
19980811,228397,228397,0,608,608,0,0,0
19980812,227118,227118,0,705,705,0,0,0
19980813,226496,226496,0,712,712,0,0,0
19980814,224776,224776,0,616,616,0,0,0
19980817,223462,223462,0,881,881,0,0,0
19980818,222231,222231,0,1045,1045,0,0,0
19980819,220015,220015,0,1036,1036,0,0,0
19980820,216153,216153,0,1030,1030,0,0,0
19980821,216121,216121,0,960,960,0,0,0
19980822,217944,217944,0,950,950,0,0,0
19980824,217523,217523,0,957,957,0,0,0
19980825,218281,218281,0,911,911,0,0,0
19980826,217932,217932,0,851,851,0,0,0
19980827,216524,216524,0,839,839,0,0,0
19980828,216557,216557,0,961,961,0,0,0
19980829,217003,217003,0,1013,1013,0,0,0
19980831,218558,218558,0,583,583,0,0,0
19980901,219548,219548,0,532,532,0,0,0
19980902,220860,220860,0,625,625,0,0,0
19980903,221198,221198,0,658,658,0,0,0
19980904,221998,221998,0,711,711,0,0,0
19980905,222315,222315,0,719,719,0,0,0
19980907,221256,221256,0,837,837,0,0,0
19980908,222160,222160,0,818,818,0,0,0
19980909,224804,224804,0,615,615,0,0,0
19980910,0,0,0,0,0,0,0,0
19980911,222700,222700,0,640,640,0,0,0
19980912,221287,221287,0,648,648,0,0,0
19980914,223416,223416,0,697,697,0,0,0
19980915,224512,224512,0,681,681,0,0,0
19980916,226728,226728,0,517,517,0,0,0
19980917,226572,226572,0,562,562,0,0,0
19980918,226710,226710,0,593,593,0,0,0
19980919,227394,227394,0,771,771,0,0,0
19980921,226758,226758,0,568,568,0,0,0
19980922,228190,228190,0,548,548,0,0,0
19980923,228670,228670,0,531,531,0,0,0
19980924,225790,225790,0,540,540,0,0,0
19980925,224149,224149,0,549,549,0,0,0
19980926,223305,223305,0,592,592,0,0,0
19980928,222412,222412,0,625,625,0,0,0
19980929,221244,221244,0,597,597,0,0,0
19980930,220669,220669,0,640,640,0,0,0
19981001,220217,220217,0,647,647,0,0,0
19981002,219730,219730,0,650,650,0,0,0
19981007,219698,219698,0,575,575,0,0,0
19981008,222308,222308,0,532,532,0,0,0
19981009,223034,223034,0,564,564,0,0,0
19981010,222584,222584,0,604,604,0,0,0
19981012,221687,221687,0,654,654,0,0,0
19981013,219847,219847,0,1197,1197,0,0,0
19981014,221783,221783,0,1112,1112,0,0,0
19981015,221623,221623,0,1171,1171,0,0,0
19981016,224631,224631,0,1234,1234,0,0,0
19981017,228710,228710,0,806,806,0,0,0
19981019,222215,222215,0,788,788,0,0,0
19981020,223429,223429,0,751,751,0,0,0
19981021,228466,228466,0,781,781,0,0,0
19981022,231671,231671,0,847,847,0,0,0
19981023,231538,231538,0,889,889,0,0,0
19981024,231118,231118,0,842,842,0,0,0
19981026,233325,233325,0,881,881,0,0,0
19981027,235698,235698,0,870,870,0,0,0
19981028,238929,238929,0,842,842,0,0,0
19981029,242758,242758,0,746,746,0,0,0
19981030,245379,245379,0,764,764,0,0,0
19981031,246188,246188,0,725,725,0,0,0
19981102,245158,245158,0,744,744,0,0,0
19981103,245102,245102,0,740,740,0,0,0
19981104,246188,246188,0,885,885,0,0,0
19981105,245481,245481,0,874,874,0,0,0
19981106,251103,251103,0,810,810,0,0,0
19981107,252253,252253,0,1033,1033,0,0,0
19981109,253548,253548,0,953,953,0,0,0
19981110,258431,258431,0,981,981,0,0,0
19981111,267682,267682,0,991,991,0,0,0
19981112,267414,267414,0,998,998,0,0,0
19981113,272151,272151,0,903,903,0,0,0
19981114,275962,275962,0,934,934,0,0,0
19981116,279283,279283,0,991,991,0,0,0
19981117,285518,285518,0,936,936,0,0,0
19981118,291221,291221,0,936,936,0,0,0
19981119,293493,293493,0,983,983,0,0,0
19981120,297493,297493,0,1006,1006,0,0,0
19981121,305215,305215,0,935,935,0,0,0
19981123,304795,304795,0,1041,1041,0,0,0
19981124,308624,308624,0,1093,1093,0,0,0
19981125,319124,319124,0,1023,1023,0,0,0
19981126,320132,320132,0,1048,1048,0,0,0
19981127,324750,324750,0,1081,1081,0,0,0
19981128,328138,328138,0,934,934,0,0,0
19981130,334711,334711,0,1062,1062,0,0,0
19981201,344204,344204,0,1061,1061,0,0,0
19981202,349233,349233,0,1048,1048,0,0,0
19981203,350260,350260,0,686,686,0,0,0
19981204,357911,357911,0,780,780,0,0,0
19981205,364421,364421,0,884,884,0,0,0
19981207,369359,369359,0,918,918,0,0,0
19981208,372932,372932,0,934,934,0,0,0
19981209,370718,370718,0,847,847,0,0,0
19981210,367325,367325,0,803,803,0,0,0
19981211,372018,372018,0,803,803,0,0,0
19981212,371880,371880,0,803,803,0,0,0
19981214,394106,394106,0,712,712,0,0,0
19981215,404457,404457,0,635,635,0,0,0
19981216,420279,420279,0,577,577,0,0,0
19981217,438417,438417,0,565,565,0,0,0
19981218,437668,437668,0,538,538,0,0,0
19981219,437506,437506,0,538,538,0,0,0
19981221,437372,437372,0,561,561,0,0,0
19981222,444252,444252,0,670,670,0,0,0
19981223,456985,456985,0,558,558,0,0,0
19981224,450447,450447,0,557,557,0,0,0
