일자,KOSPI지수,거래량,거래대금,시가총액,외국인_시가총액,외국인_비중
19980103,385.49,35647000,247704,72353997,10518190,14.537
19980105,396.49,98416000,561256,74377030,10868531,14.613
19980106,406.34,74793000,509534,76176504,11188176,14.687
19980107,409.42,97661000,685519,76796589,11398547,14.843
19980108,423.96,90006000,653946,79493240,11944117,15.025
19980109,414,85269000,697981,77566445,11785248,15.194
19980110,440.78,78203000,536634,82546182,12581413,15.242
19980112,456.2,113057000,927330,85623774,13012888,15.198
19980113,463.74,111795000,898434,87131731,13177742,15.124
19980114,475.13,128200000,1082406,89263876,13572456,15.205
19980115,505.98,129188000,1170769,95060743,14556534,15.313
19980116,488.1,200062000,1705729,91600740,14320968,15.634
19980117,495.91,86767000,719613,93075178,14706251,15.8
19980119,528.77,151158000,1201320,99224707,15784942,15.908
19980120,533.55,127841641,1299806,100065168,16178188,16.168
19980121,506.66,131176000,1044000,95074659,15349658,16.145
19980122,483.99,110811000,1022073,90888359,14682511,16.154
19980123,486.86,87527000,775769,91363322,15012001,16.431
19980124,509.53,64220000,556464,95588048,15813126,16.543
19980126,518.64,80837000,872666,97186139,16331446,16.804
19980130,558.33,61281000,727459,104613043,17708396,16.928
19980131,567.38,91606000,1069194,106192563,18383134,17.311
19980202,543.68,97966000,1177732,101694603,17802465,17.506
19980203,550.21,104601000,1208475,102999053,17982161,17.459
19980204,547.28,100250000,1108571,102477551,17844201,17.413
19980205,528.05,95221000,1046426,98957921,17075892,17.256
19980206,540.45,104077000,1242418,101260683,17948862,17.725
19980207,542.7,55174000,565647,101602556,18140981,17.855
19980209,554.24,90835000,963432,103675994,18681545,18.019
19980210,541.77,86161000,875783,101415172,18228369,17.974
19980211,520.14,82986000,829470,97434462,17620410,18.084
19980212,512.49,78100000,815770,95937254,17439902,18.178
19980213,506.2,91690000,1012241,94704834,17332457,18.302
19980214,484.12,49572000,450866,90677040,16560704,18.263
19980216,476.98,69368000,634357,89278563,16416179,18.388
19980217,471.73,58914000,508505,88161937,16420068,18.625
19980218,487.73,68777000,650632,91330079,17165804,18.795
19980219,513.45,77956000,840684,96203550,18249454,18.97
19980220,522.13,83918000,967574,97797085,18984142,19.412
19980221,528.95,55966000,646465,99194938,19368189,19.525
19980223,543.06,83456000,909568,101989004,19781032,19.395
19980224,540.89,76970000,785802,105067637,19677112,18.728
19980225,516.38,81896000,807767,100308876,18883609,18.825
19980226,524.98,71747000,753615,102060523,19330490,18.94
19980227,548.42,85908000,915035,106653572,20585632,19.301
19980228,558.98,63385000,697102,108459214,21316620,19.654
19980302,574.35,99926000,1034468,111557014,21932910,19.661
19980303,570.89,108863000,1132789,110977894,21661938,19.519
19980304,572.76,86366000,814991,111466759,21501801,19.29
19980305,535.68,94273000,843572,104149518,19940809,19.146
19980306,522.55,78371000,709720,101529320,19449256,19.156
19980307,525.98,43851000,368923,102217420,19733133,19.305
19980309,507.71,57508000,495645,98723250,19012193,19.258
19980310,525.56,58360000,565584,102224845,19850308,19.418
19980311,531.05,70232000,693801,103273013,20176132,19.537
19980312,535.84,70504000,641698,104270118,20348939,19.516
19980313,536.16,86418000,711570,104219531,20144024,19.328
19980314,533.56,53432000,398641,103752037,19938233,19.217
19980316,528.88,73104000,607114,102866852,19727640,19.178
19980317,515.51,74523000,602407,100337555,19119938,19.056
19980318,518.08,67840000,566472,100702569,19270977,19.137
19980319,521.73,65273000,562804,101336394,19427196,19.171
19980320,525.95,68518000,579401,102245991,19655166,19.223
19980321,521.62,47727000,337590,101436401,19448329,19.173
19980323,511.9,76167000,538602,99538454,18930164,19.018
19980324,508.43,73461000,501281,98883036,18795498,19.008
19980325,510.14,73879000,570824,99222916,18808459,18.956
19980326,501.13,71787000,579840,97675528,18440011,18.879
19980327,503.08,62856000,539146,97953666,18560913,18.949
19980328,496.26,49453000,463942,96922767,18275829,18.856
19980330,482.33,59028000,404806,93969232,17871813,19.019
19980331,481.04,59435000,457477,93806855,17776870,18.951
19980401,468.22,56161000,412544,91322627,17238828,18.877
19980402,453.66,61024000,454650,88566814,16600001,18.743
19980403,434.45,63223000,475777,84890005,15778735,18.587
19980404,442.45,43686000,319649,86444319,16168438,18.704
19980406,435.92,50070000,372413,85146461,16049376,18.849
19980407,459.58,58961000,465197,89747781,17016019,18.96
19980408,455.53,61930000,508377,88828466,17074339,19.222
19980409,468.11,60725000,509079,91288735,17662092,19.348
19980410,468.29,54044000,400933,91320595,17525195,19.191
19980411,490.63,43792000,378577,95547860,18634527,19.503
19980413,494.89,69815000,569876,96356027,18689892,19.397
19980414,467.63,52931000,450595,91707871,17685192,19.284
19980415,467.87,45659000,374995,91801435,17634642,19.21
19980416,454.15,44615000,357332,89150229,17138779,19.225
19980417,450.23,37029000,286960,88458627,16985085,19.201
19980418,441.68,29458000,234422,86765366,16681071,19.225
19980420,435.73,35665000,247060,85558049,16642637,19.452
19980421,439.21,40343000,307127,86371758,16857836,19.518
19980422,431.81,41586000,309308,84860491,16714818,19.697
19980423,416.54,44554000,291706,81859920,16335408,19.955
19980424,414.56,55064000,355871,81616991,16256341,19.918
19980425,411.63,29517000,165392,80901959,16079444,19.875
19980427,406.25,44759000,249979,79888713,15883870,19.882
19980428,402.39,40157000,267793,79126365,15732519,19.883
19980429,417.05,47127000,341128,82053527,16367521,19.947
