일자,투자자예탁금,장내파생상품_거래예수금,대고객RP_매도잔고,위탁매매_미수금,반대매매금액,미수금대비_반대매매비중
19980618,1957824,561845,404865,166456,0,0
19980619,1907064,486467,4355259,175954,0,0
19980620,1885424,485194,4373248,192697,0,0
19980622,1950155,497507,4326370,194277,0,0
19980623,1936932,502410,4431383,185484,0,0
19980624,1918299,511721,4198738,179358,0,0
19980625,1902122,514737,4192443,182386,0,0
19980626,1893517,496495,4026402,189068,0,0
19980627,1867476,492490,3966295,189483,0,0
19980629,1812484,506390,3788371,179748,0,0
19980630,1804736,503224,3748051,169108,0,0
19980701,1884070,513475,3577265,16798,0,0
19980702,1848895,542974,3708369,170209,0,0
19980703,1850024,539627,3740675,188410,0,0
19980704,1891582,536007,3710134,198793,0,0
19980706,1919233,542220,3634118,192251,0,0
19980707,1914182,545017,3649493,180797,0,0
19980708,1887352,536745,3415882,176098,0,0
19980709,1925613,551148,3375079,181033,0,0
19980710,1943536,540974,3021560,182654,0,0
19980711,1906807,550870,3269404,186709,0,0
19980713,1885312,571223,3169982,199413,0,0
19980714,1874918,578413,3230368,189918,0,0
19980715,1884199,578328,3203857,180340,0,0
19980716,1840788,576546,3237169,179980,0,0
19980718,1893721,549473,3088812,189893,0,0
19980720,2029982,615011,2997419,194549,0,0
19980721,2189071,644074,3052253,195949,0,0
19980722,2317687,664451,3022020,201883,0,0
19980723,2305181,664163,3020671,234134,0,0
19980724,2195924,671088,3117295,237594,0,0
19980725,2216177,675374,3043923,252871,0,0
19980727,2168290,695489,2955637,241197,0,0
19980728,2074602,568049,3030200,221498,0,0
19980729,2013813,576404,3075276,208642,0,0
19980730,1989352,574132,2974904,198863,0,0
19980731,2004741,609924,3133523,199864,0,0
19980801,1987945,610427,3081494,203290,0,0
19980803,1954157,608883,3028930,209693,0,0
19980804,1969728,619119,2917822,203896,0,0
19980805,1971002,567746,2899732,191264,0,0
19980806,0,0,0,0,0,0
19980807,1944273,600603,2815233,193029,0,0
19980808,1911136,596731,2784264,193788,0,0
19980810,1906655,614605,2697202,185345,0,0
19980811,1887518,593656,2681586,174349,0,0
19980812,1892084,604993,2601107,173981,0,0
19980813,1867155,584949,2599892,173444,0,0
19980814,1854808,577770,2473751,177522,0,0
19980817,1877044,548717,2410826,175711,0,0
19980818,1857801,529410,2516280,174448,0,0
19980819,1854099,530598,2513515,169369,0,0
19980820,1870843,522613,2471202,171023,0,0
19980821,1876852,573135,2495345,175659,0,0
19980822,1844862,572358,2500682,186844,0,0
19980824,1863866,595900,2555569,192885,0,0
19980825,1841567,565539,2508615,185287,0,0
19980826,1865843,564912,2481265,180461,0,0
19980827,1857156,556349,2541163,183681,0,0
19980828,1889096,580042,2580263,189978,0,0
19980829,1857135,583262,2520169,187146,0,0
19980831,1846571,580293,2603954,182574,0,0
19980901,1836800,576017,2513210,177328,0,0
19980902,1815176,574645,2463190,172941,0,0
19980903,1809666,571017,2317679,176235,0,0
19980904,1824013,561156,2339769,176450,0,0
19980905,1805666,561834,2309609,178237,0,0
19980907,1851681,567386,2346667,171651,0,0
19980908,1897970,582057,2296183,161509,0,0
19980909,1942766,587960,2377464,176925,0,0
19980910,1951322,606276,2268484,186911,0,0
19980911,1977546,528850,2205646,180830,0,0
19980912,2003512,524995,2209985,177895,0,0
19980914,2003675,535100,2213843,181911,0,0
19980915,1928996,531702,2213029,178357,0,0
19980916,1892477,523868,2213022,176839,0,0
19980917,1870988,534431,2317010,186502,0,0
19980918,1874634,549010,2179877,181406,0,0
19980919,1850824,549785,2179665,178664,0,0
19980921,1780866,538459,2164380,179374,0,0
19980922,1768000,501217,2163265,172508,0,0
19980923,1721254,503908,2134053,170789,0,0
19980924,1750676,523677,2102475,171257,0,0
19980925,1727309,540307,2074861,172531,0,0
19980926,1770310,530986,2118158,178031,0,0
19980928,1665554,498696,2155154,164825,0,0
19980929,1759531,549180,2220676,171343,0,0
19980930,1704581,532174,2556499,165305,0,0
19981001,1697613,532972,2310696,164020,0,0
19981002,1603336,496592,2161385,163065,0,0
19981007,1665554,498696,2155154,164825,0,0
19981008,1704017,501921,2336442,161911,0,0
19981009,1709531,494380,2212491,166791,0,0
19981010,1766961,536550,2201294,173847,0,0
19981012,1912656,538863,2326194,183057,0,0
19981013,2069401,597597,2368274,178498,0,0
19981014,2162990,597068,2319377,191519,0,0
19981015,2275038,600342,2194124,212898,0,0
19981016,2283076,655040,2191350,216979,0,0
19981017,2310764,636423,2205781,221406,0,0
19981019,2473574,677464,2003949,222203,0,0
19981020,2470247,677796,2044438,209253,0,0
19981021,2506922,691907,2143997,210230,0,0
19981022,2500293,686595,2139899,215348,0,0
19981023,2484933,688443,2184591,223415,0,0
19981024,2426052,681950,2210558,217571,0,0
19981026,2425414,681269,1847889,214658,0,0
19981027,2421455,674371,1752165,202621,0,0
19981028,2380685,665610,1750720,196711,0,0
19981029,2310942,660830,1817572,208586,0,0
19981030,2240941,674832,2019294,203697,0,0
19981031,2215648,677843,2020219,196934,0,0
19981102,2334480,692200,1876137,198356,0,0
19981103,2447094,686279,1915007,200574,0,0
19981104,2541650,683508,1818726,211662,0,0
19981105,2639922,698531,2134613,214074,0,0
19981106,2689308,698400,2012911,219924,0,0
19981107,2733866,685470,2070909,228458,0,0
19981109,2777826,665215,2098895,249038,0,0
19981110,2785087,647815,2090988,235817,0,0
19981111,2733167,627750,2103272,222291,0,0
19981112,2824749,610867,2058705,239801,0,0
19981113,2752214,610174,2081487,226372,0,0
19981114,2731467,605444,2099947,218402,0,0
19981116,2737681,611650,2092470,209433,0,0
19981117,2776530,624009,2091358,206594,0,0
19981118,2781050,620024,2279977,220705,0,0
19981119,2812091,655123,2105220,232786,0,0
19981120,2814110,668815,2321069,241535,0,0
19981121,2812306,670587,2324123,248624,0,0
19981123,2987889,674324,2165749,259719,0,0
19981124,3030191,662273,2217456,252897,0,0
19981125,3143566,640230,2160172,240237,0,0
19981126,3191384,644972,2161327,245829,0,0
19981127,3182541,641734,2142221,249459,0,0
19981128,3141380,640864,2141289,262887,0,0
19981130,3153503,647367,2123230,248388,0,0
19981201,3224519,645926,2150380,230970,0,0
19981202,3255949,637369,2141527,248779,0,0
19981203,3271933,634756,2107984,171400,0,0
19981204,3300230,627854,2214474,273674,0,0
19981205,3337682,659907,2208548,270820,0,0
19981207,3745225,698752,2165826,277415,0,0
19981208,4255042,708403,2150044,287763,0,0
19981209,4421065,694727,2176208,317447,0,0
19981210,4738193,724791,2221340,356893,0,0
19981211,4898318,636997,2182920,376817,0,0
19981212,4915197,603342,2168195,375636,0,0
19981214,5220885,570653,2129979,436125,0,0
19981215,5276819,561455,2034347,489340,0,0
19981216,5216256,553038,2010760,572288,0,0
19981217,4946002,543736,1989375,642656,0,0
19981218,4888406,538130,2039341,729147,0,0
19981219,4924348,537951,2072924,720134,0,0
19981221,5022500,540060,2056322,641788,0,0
19981222,4859073,558267,2009269,501785,0,0
19981223,4735600,501901,2284729,470327,0,0
19981224,4754798,493894,2426164,438301,0,0
19981226,4765027,490829,2490482,436695,0,0
19981228,4759300,467229,2487507,386195,0,0
19981229,4326701,440964,2554404,357379,0,0
19981230,3786703,435023,2258410,229401,0,0
19981231,3777343,432705,2524667,219486,0,0
19990102,3774793,433005,2723329,213157,0,0
19990104,4154377,466609,2445942,183952,0,0
19990105,4457525,501379,2346620,182072,0,0
