연월,국고3년,회사채AA-,회사채BBB-,AA스프레드,BBB스프레드
2000-10,7.66,8.59,11.76,0.93,4.1
2000-11,7.19,8.37,11.87,1.18,4.68
2000-12,6.7,8.13,11.82,1.43,5.12
2001-01,5.7,7.47,11.54,1.77,5.84
2001-02,5.52,6.82,11.83,1.3,6.31
2001-03,6.31,7.69,12.45,1.38,6.14
2001-04,6.83,8.1,12.79,1.27,5.96
2001-05,6.09,7.31,11.61,1.22,5.52
2001-06,5.93,7.1,11.21,1.17,5.28
2001-07,5.6,6.9,11.03,1.3,5.43
2001-08,5.16,6.56,10.73,1.4,5.57
2001-09,4.45,5.95,10.14,1.5,5.69
2001-10,4.97,6.57,10.69,1.6,5.72
2001-11,5.73,7.06,11.16,1.33,5.43
2001-12,5.91,7.04,11.2,1.13,5.29
2002-01,6.03,6.97,11.12,0.94,5.09
2002-02,5.72,6.69,10.88,0.97,5.16
2002-03,6.39,7.07,11.1,0.68,4.71
2002-04,6.35,7.13,11.1,0.78,4.75
2002-05,6.1,6.86,10.82,0.76,4.72
2002-06,5.66,6.59,10.51,0.93,4.85
2002-07,5.57,6.44,10.3,0.87,4.73
2002-08,5.47,6.31,10.12,0.84,4.65
2002-09,5.27,5.97,9.81,0.7,4.54
2002-10,5.33,5.95,9.54,0.62,4.21
2002-11,5.36,5.97,9.41,0.61,4.05
2002-12,5.11,5.69,9.1,0.58,3.99
2003-01,4.77,5.29,8.65,0.52,3.88
2003-02,4.57,5.1,8.41,0.53,3.84
2003-03,4.65,5.37,8.49,0.72,3.84
2003-04,4.5,5.33,8.43,0.83,3.93
2003-05,4.11,5.21,8.29,1.1,4.18
2003-06,4.14,5.44,8.52,1.3,4.38
2003-07,4.59,5.88,9.0,1.29,4.41
2003-08,4.47,5.6,8.98,1.13,4.51
2003-09,4.13,5.07,8.85,0.94,4.72
2003-10,4.5,5.35,9.3,0.85,4.8
2003-11,4.85,5.57,9.79,0.72,4.94
2003-12,4.81,5.57,9.89,0.76,5.08
2004-01,4.94,5.75,10.1,0.81,5.16
2004-02,4.77,5.54,10.01,0.77,5.24
2004-03,4.53,5.33,9.81,0.8,5.28
2004-04,4.47,5.19,9.66,0.72,5.19
2004-05,4.17,4.83,9.3,0.66,5.13
2004-06,4.25,4.85,9.31,0.6,5.06
2004-07,4.1,4.68,9.12,0.58,5.02
2004-08,3.55,4.1,8.52,0.55,4.97
2004-09,3.55,4.05,8.45,0.5,4.9
2004-10,3.45,3.91,8.3,0.46,4.85
2004-11,3.31,3.76,8.17,0.45,4.86
2004-12,3.27,3.72,8.14,0.45,4.87
2005-01,4.08,4.56,8.98,0.48,4.9
2005-02,4.1,4.54,8.95,0.44,4.85
2005-03,3.92,4.35,8.46,0.43,4.54
2005-04,3.77,4.19,8.23,0.42,4.46
2005-05,3.71,4.12,8.06,0.41,4.35
2005-06,3.94,4.33,8.3,0.39,4.36
2005-07,4.23,4.63,8.61,0.4,4.38
2005-08,4.16,4.58,8.58,0.42,4.42
2005-09,4.61,5.01,8.85,0.4,4.24
2005-10,4.95,5.34,9.13,0.39,4.18
2005-11,5.09,5.5,9.24,0.41,4.15
2005-12,5.08,5.52,9.24,0.44,4.16
2006-01,4.94,5.42,9.04,0.48,4.1
2006-02,4.86,5.3,8.65,0.44,3.79
2006-03,4.93,5.26,8.37,0.33,3.44
2006-04,4.82,5.09,8.14,0.27,3.32
2006-05,4.73,5.01,7.96,0.28,3.23
2006-06,4.95,5.22,8.1,0.27,3.15
2006-07,4.83,5.15,8.02,0.32,3.19
2006-08,4.76,5.09,7.92,0.33,3.16
2006-09,4.57,4.91,7.71,0.34,3.14
2006-10,4.72,5.02,7.82,0.3,3.1
2006-11,4.82,5.17,7.96,0.35,3.14
2006-12,4.93,5.3,8.09,0.37,3.16
2007-01,5.01,5.37,8.16,0.36,3.15
2007-02,4.83,5.21,8.01,0.38,3.18
2007-03,4.77,5.19,7.97,0.42,3.2
2007-04,5.04,5.43,8.2,0.39,3.16
2007-05,5.21,5.59,8.35,0.38,3.14
2007-06,5.25,5.65,8.45,0.4,3.2
2007-07,5.27,5.68,8.41,0.41,3.14
2007-08,5.36,5.78,8.5,0.42,3.14
2007-09,5.45,5.96,8.62,0.51,3.17
2007-10,5.41,6.0,8.59,0.59,3.18
2007-11,5.96,6.64,9.16,0.68,3.2
2007-12,5.74,6.77,9.12,1.03,3.38
2008-01,5.03,6.27,8.52,1.24,3.49
2008-02,4.97,6.15,8.44,1.18,3.47
2008-03,5.14,6.04,8.5,0.9,3.36
2008-04,4.88,5.81,8.44,0.93,3.56
2008-05,5.44,6.39,9.09,0.95,3.65
2008-06,5.82,6.81,9.59,0.99,3.77
2008-07,5.81,6.9,9.78,1.09,3.97
2008-08,5.71,7.27,10.21,1.56,4.5
2008-09,5.93,7.87,10.91,1.94,4.98
2008-10,4.42,8.08,11.28,3.66,6.86
2008-11,4.85,8.88,12.49,4.03,7.64
2008-12,3.41,7.72,12.02,4.31,8.61
2009-01,3.49,7.26,12.09,3.77,8.6
2009-02,3.85,6.66,12.41,2.81,8.56
2009-03,3.89,6.14,12.18,2.25,8.29
2009-04,3.52,5.24,11.48,1.72,7.96
2009-05,3.85,4.99,11.27,1.14,7.42
2009-06,4.1,5.32,11.4,1.22,7.3
2009-07,4.15,5.59,11.66,1.44,7.51
2009-08,4.32,5.55,11.75,1.23,7.43
2009-09,4.42,5.55,11.76,1.13,7.34
2009-10,4.52,5.64,11.84,1.12,7.32
2009-11,4.08,5.19,11.35,1.11,7.27
2009-12,4.41,5.53,11.58,1.12,7.17
2010-01,4.29,5.4,11.47,1.11,7.18
2010-02,4.11,5.25,11.31,1.14,7.2
2010-03,3.86,4.87,10.9,1.01,7.04
2010-04,3.59,4.4,10.49,0.81,6.9
