일자,KOSDAQ지수,거래량,거래대금,시가총액,외국인_시가총액,외국인_비중
20001106,804.6,246734500,1382794,43005978,3130003,7.278
20001107,796.3,276220390,1405710,42532097,3104687,7.3
20001108,793.1,238408720,1323757,42337065,3095404,7.311
20001109,801.1,211885590,1227867,42768996,3058563,7.151
20001110,808.3,246805700,1422359,43129668,3120817,7.236
20001113,780.7,243222160,1270622,41721197,2989668,7.166
20001114,800.9,287888330,1551583,42818222,3132551,7.316
20001115,816.4,368410560,2107867,43656046,3167894,7.256
20001116,808.6,293792140,1573882,43328338,3146905,7.263
20001117,806.8,285665060,1491474,43284696,3129270,7.23
20001120,801.7,281172570,1487848,43052845,3093175,7.185
20001121,787,312741940,1655678,42377221,3007337,7.097
20001122,771.3,299858260,1434966,41557218,2948857,7.096
20001123,728.3,289960770,1295095,39409804,2803187,7.113
20001124,735,263934680,1181529,39757051,2791300,7.021
20001127,759.4,276681390,1207459,41040993,2853147,6.952
20001128,725,270718820,1229277,39310257,2681176,6.821
20001129,684.5,261752750,1116260,37172464,2486368,6.689
20001130,672.6,308268010,1269736,36508433,2458440,6.734
20001201,678.1,341135010,1387942,36763955,2495802,6.789
20001204,663.8,327319150,1318426,36080714,2415754,6.695
20001205,669.6,334474280,1356947,36425568,2438889,6.696
20001206,675.4,402425620,1723231,36723700,2510138,6.835
20001207,677.2,299579250,1250417,36929553,2541184,6.881
20001208,684.1,310016320,1267689,37294872,2538866,6.808
20001211,711.1,289224200,1280895,38715571,2680369,6.923
20001212,697.7,304826500,1334196,38135598,2640167,6.923
20001213,707.5,293979740,1313410,38460107,2701446,7.024
20001214,708.5,307579020,1169413,38552041,2700196,7.004
20001215,679.4,270882670,1147411,37131333,2571210,6.925
20001218,665.7,222526540,952074,36537281,2479806,6.787
20001219,634,283782870,1101972,34564714,2356321,6.817
20001220,589.8,235713160,819106,32251395,2192936,6.8
20001221,560.6,218150930,722210,30793666,2114453,6.867
20001222,526.7,203476600,669997,29041843,1975456,6.802
20001226,525.8,180588170,550913,29015847,1974492,6.805
20010102,557,201214950,689003,30514604,2088687,6.845
20010103,569,284994090,1010438,31284996,2133916,6.821
20010104,615.1,233125180,948946,33685023,2347437,6.969
20010105,625.2,367229620,1391124,34178121,2465678,7.214
20010108,650,358615170,1439983,35502843,2578436,7.263
20010109,678.2,457143510,1799807,37034212,2665813,7.198
20010110,639.6,697320760,3008605,35022432,2562923,7.318
20010111,675.1,477200660,1985095,37142528,2712172,7.302
20010112,713.6,502828980,2126559,39188069,2957665,7.547
20010115,765.2,518930210,2271901,41933816,3239571,7.725
20010116,777.1,630292520,3479285,42645791,3357833,7.874
20010117,750.1,572086330,3271507,41344561,3201745,7.744
20010118,745.6,504646740,2833367,41376644,3212390,7.764
20010119,772.1,535853440,3005126,42790518,3448625,8.059
20010122,833.2,483998310,2583840,46081313,3753279,8.145
20010126,800.4,499793070,3080399,44290036,3696379,8.346
20010129,813.8,500964110,2791895,45152315,3663672,8.114
20010130,827.6,605491100,3346822,45943089,3702877,8.06
20010131,843.6,718875400,4026436,46746517,3816118,8.163
20010201,827,555464730,3689042,45953644,3763642,8.19
20010202,826.6,458178910,2801819,45914329,3747590,8.162
20010205,779.7,441361450,2326405,43453659,3495303,8.044
20010206,797.2,494424330,2655060,44131395,3592198,8.14
20010207,778,426885170,2523916,43100058,3506386,8.135
20010208,798,401548340,2347372,44193574,3577978,8.096
20010209,807.3,393409540,2301225,44710558,3585306,8.019
20010212,831.1,469615730,2696641,46017155,3665290,7.965
20010213,840.8,560315600,3297786,46597819,3661363,7.857
20010214,853.1,548166160,2958769,47275421,3664291,7.751
20010215,873.8,640430180,3941778,48374825,3782184,7.818
20010216,863.2,622219560,4002701,47825505,3912034,8.18
20010219,872.9,537446390,2956379,48345900,3880099,8.026
20010220,876.5,644275430,3304725,48514880,3845985,7.927
20010221,852.5,609052510,2677563,47249098,3713108,7.859
20010222,801.8,530446370,2658342,44564471,3488521,7.828
20010223,805.7,423758150,2035925,44814102,3499171,7.808
20010226,812.5,391375510,1897212,45247472,3517096,7.773
20010227,781.2,437820910,2038874,43456544,3408271,7.843
20010228,767.6,325449110,1540929,42735042,3327830,7.787
20010302,719.9,329388990,1528884,40154258,3111822,7.75
20010305,743.2,391885550,1935978,41453452,3214761,7.755
20010306,735.2,413298460,2281937,40848349,3181341,7.788
20010307,753.5,346684330,1814985,41846628,3277100,7.831
20010308,780,428494590,2323609,43272865,3346964,7.735
20010309,765.6,341008360,1821930,42497199,3281668,7.722
