# KRX 정보데이터시스템 [32003] 투자자별 공매도 거래 · 코스피 · 공매도 거래대금 · 단위 백만원 · 로그인 화면에서 받음 (2026-09-09)
# 공매도 전면 금지 기간(2020-03-16~2021-05-02 · 2023-11-06~2025-03-30)에는 시장조성 등 예외분만 있어 기관 외 0
일자,기관_공매도_백만원,개인_공매도_백만원,외국인_공매도_백만원,기타_공매도_백만원,합계_백만원
2020-01-02,95702,1656,118964,0,216322
2020-01-03,151262,2280,133910,0,287452
2020-01-06,135954,2503,119387,0,257844
2020-01-07,140062,2925,129899,0,272886
2020-01-08,175731,2580,266908,0,445219
2020-01-09,189542,3021,241819,0,434383
2020-01-10,185562,3182,165328,0,354072
2020-01-13,182479,4354,204791,0,391623
2020-01-14,228766,1833,193547,0,424145
2020-01-15,193803,2971,175626,0,372399
2020-01-16,264949,2135,189718,0,456802
2020-01-17,164841,1460,194043,0,360345
2020-01-20,218860,3541,157917,0,380319
2020-01-21,181872,3337,170418,0,355627
2020-01-22,144309,3291,177512,0,325112
2020-01-23,269779,5573,182307,0,457660
2020-01-28,298386,4737,258319,0,561442
2020-01-29,290764,3388,189077,0,483230
2020-01-30,296524,3807,262000,0,562332
2020-01-31,286774,6712,236601,0,530086
2020-02-03,183802,5092,295871,0,484766
2020-02-04,420158,7952,246824,0,674934
2020-02-05,502101,6345,293732,0,802178
2020-02-06,230542,6326,283189,0,520058
2020-02-07,294021,5452,186071,0,485544
2020-02-10,198056,3315,164507,0,365877
2020-02-11,156439,7819,207326,0,371584
2020-02-12,165682,4645,256909,0,427236
2020-02-13,187854,4077,278819,0,470750
2020-02-14,191892,3492,195256,0,390640
2020-02-17,166398,2628,187592,0,356619
2020-02-18,222055,2535,153722,0,378313
2020-02-19,186570,3369,195714,0,385653
2020-02-20,300346,3297,243679,0,547322
2020-02-21,273318,3856,268488,0,545662
2020-02-24,251147,3133,334904,13,589198
2020-02-25,258171,3314,354473,0,615958
2020-02-26,248616,3027,260414,0,512056
2020-02-27,337188,2870,289125,15,629198
2020-02-28,237590,4877,386271,0,628738
2020-03-02,156902,4754,328274,0,489930
2020-03-03,348659,5113,244612,0,598383
2020-03-04,281028,7387,237651,0,526066
2020-03-05,455527,4447,237371,0,697345
2020-03-06,434838,2003,214970,0,651811
2020-03-09,453165,2934,437238,0,893337
2020-03-10,168038,3997,289734,0,461769
2020-03-11,338792,3254,321269,0,663315
2020-03-12,276208,4220,591820,0,872248
2020-03-13,449849,7208,534001,0,991058
2020-03-16,440882,0,0,0,440882
2020-03-17,24748,0,0,0,24748
2020-03-18,27607,0,0,0,27607
2020-03-19,7809,0,0,0,7809
2020-03-20,10328,0,0,0,10328
2020-03-23,18519,0,0,0,18519
2020-03-24,12679,0,0,0,12679
2020-03-25,15086,0,0,0,15086
2020-03-26,16444,0,0,0,16444
2020-03-27,10021,0,0,0,10021
2020-03-30,8177,0,0,0,8177
2020-03-31,23599,0,0,0,23599
2020-04-01,17622,0,0,0,17622
2020-04-02,15292,0,0,0,15292
2020-04-03,13423,0,0,0,13423
2020-04-06,6806,0,0,0,6806
2020-04-07,7774,0,0,0,7774
2020-04-08,11252,0,0,0,11252
2020-04-09,13559,0,0,0,13559
2020-04-10,13066,0,0,0,13066
2020-04-13,12220,0,0,0,12220
2020-04-14,6400,0,0,0,6400
2020-04-16,9147,0,0,0,9147
2020-04-17,10806,0,0,0,10806
2020-04-20,9805,0,0,0,9805
2020-04-21,14052,0,0,0,14052
2020-04-22,8696,0,0,0,8696
2020-04-23,7865,0,0,0,7865
2020-04-24,7838,0,0,0,7838
2020-04-27,4648,0,0,0,4648
2020-04-28,8785,0,0,0,8785
2020-04-29,9963,0,0,0,9963
2020-05-04,11795,0,0,0,11795
2020-05-06,10342,0,0,0,10342
2020-05-07,7795,0,0,0,7795
2020-05-08,10206,0,0,0,10206
2020-05-11,8294,0,0,0,8294
2020-05-12,12180,0,0,0,12180
2020-05-13,7581,0,0,0,7581
2020-05-14,13831,0,0,0,13831
2020-05-15,8852,0,0,0,8852
2020-05-18,8569,0,0,0,8569
2020-05-19,9795,0,0,0,9795
2020-05-20,6738,0,0,0,6738
2020-05-21,10705,0,0,0,10705
2020-05-22,13448,0,0,0,13448
2020-05-25,12182,0,0,0,12182
2020-05-26,8692,0,0,0,8692
2020-05-27,7993,0,0,0,7993
2020-05-28,10926,0,0,0,10926
2020-05-29,18299,0,0,0,18299
2020-06-01,12268,0,0,0,12268
2020-06-02,11187,0,0,0,11187
2020-06-03,13646,0,0,0,13646
2020-06-04,12536,0,0,0,12536
2020-06-05,8094,0,0,0,8094
2020-06-08,6663,0,0,0,6663
2020-06-09,7819,0,0,0,7819
2020-06-10,6501,0,0,0,6501
2020-06-11,48734,0,0,0,48734
2020-06-12,34265,0,0,0,34265
2020-06-15,13059,0,0,0,13059
2020-06-16,21385,0,0,0,21385
2020-06-17,23281,0,0,0,23281
2020-06-18,12656,0,0,0,12656
2020-06-19,8864,0,0,0,8864
2020-06-22,7635,0,0,0,7635
2020-06-23,10384,0,0,0,10384
2020-06-24,10683,0,0,0,10683
2020-06-25,14325,0,0,0,14325
2020-06-26,8102,0,0,0,8102
2020-06-29,11058,0,0,0,11058
2020-06-30,19152,0,0,0,19152
2020-07-01,7715,0,0,0,7715
2020-07-02,12468,0,0,0,12468
