일자,기관_순매수_원,개인_순매수_원,외국인_순매수_원,기타법인_순매수_원
2020-01-02,-540070217257,530457526563,-4396399920,14009090614
2020-01-03,-523884136250,273766831774,262296725861,-12179421385
2020-01-06,-320930439081,236319242074,99115046723,-14503849716
2020-01-07,-45333442471,-167845195241,195330373094,17848264618
2020-01-08,-239966871800,-19155466877,268398267835,-9275929158
2020-01-09,-285057625521,192325767608,90846494260,1885363653
2020-01-10,-363504743048,-23192648206,378500799585,8196591669
2020-01-13,-214789003582,-49085857143,257405085463,6469775262
2020-01-14,-428174844001,133620161831,264010106592,30544575578
2020-01-15,-243649451517,315550911285,-84871036427,12969576659
2020-01-16,-209922500375,223466949496,-25762615666,12218166545
2020-01-17,-296659909335,186067120685,94812021873,15780766777
2020-01-20,-27825198443,-54680450089,63478836355,19026812177
2020-01-21,-185315141286,360516680460,-204784021454,29582482280
2020-01-22,288502898518,-218208500336,-73468850503,3174452321
2020-01-23,-479548069609,581324527923,-133364341284,31587882970
2020-01-28,-189417830401,667155598342,-524751655984,47013888043
2020-01-29,-497605225625,372657488045,101184539150,23763198430
2020-01-30,-442725449395,663228163087,-278759369045,58256655353
2020-01-31,171695852050,278755703131,-425024037117,-25427518064
2020-02-03,169772629693,118014240745,-307932999470,20146129032
2020-02-04,-701979533792,202618717290,486279317067,13081499435
2020-02-05,-908236738398,434095962473,460148165299,13992610626
2020-02-06,516701364159,-688055011816,152397473940,18956173717
2020-02-07,-465953015383,391603567804,25242959948,49106487631
2020-02-10,-165011544660,435455100181,-303632489885,33188934364
2020-02-11,318224132603,-220390551805,-94024400619,-3809180179
2020-02-12,148865995776,46016579407,-217494973012,22612397829
2020-02-13,-327778851315,-3855114377,276829230650,54804735042
2020-02-14,-108624919521,-1135633694,93686137161,16074416054
2020-02-17,13904907787,195999132568,-229392168244,19488127889
2020-02-18,-528133639236,767090594417,-305416342384,66459387203
2020-02-19,-11774216778,160044611463,-220343210118,72072815433
2020-02-20,-335584793568,192439644739,111697083258,31448065571
2020-02-21,-535037459553,283713274730,217957881472,33366303351
2020-02-24,191646718659,608404299537,-781575346266,-18475671930
2020-02-25,113510820173,610329594445,-768793137762,44952723144
2020-02-26,23675319787,788626814446,-873507608057,61205473824
2020-02-27,-1914523969,346481522844,-396799886123,52232887248
2020-02-28,357636810087,229859076110,-633721607966,46225721769
2020-03-02,270296243288,461573976702,-785997257670,54127037680
2020-03-03,-447359374407,709039361032,-307155761558,45475774933
2020-03-04,-170616011356,-3753352061,150554145265,23815218152
2020-03-05,-201549628502,321308316155,-145880457754,26121770101
2020-03-06,-262500898512,791505202117,-563665952086,34661648481
2020-03-09,-46335792397,1279952696242,-1307493088794,73876184949
2020-03-10,611280071388,311428799305,-989663945312,66955074619
2020-03-11,-483799928785,1088612946059,-683496710798,78683693524
2020-03-12,275640021606,538848382697,-889078317706,74589913403
2020-03-13,584791380198,446267566799,-1162850421107,131791474110
2020-03-16,-346529372751,926253868992,-678582718915,98858222674
2020-03-17,350227711377,600993518329,-1003055158526,51833928820
2020-03-18,-514527352306,913615877804,-505772529399,106684003901
2020-03-19,289838355556,242101933705,-614934268089,82993978828
2020-03-20,311587391119,200391678268,-583241267390,71262198003
2020-03-23,-361146803853,920037692798,-640488343555,81597454610
2020-03-24,502449933822,-462331020121,-82324403168,42205489467
2020-03-25,-94818297972,428336051586,-323000342459,-10517411155
2020-03-26,-213791263604,716581032274,-530664756139,27874987469
2020-03-27,130034446865,173071170465,-372351147260,69245529930
2020-03-30,223597316312,198570827314,-427217268818,5049125192
2020-03-31,-290122645991,384523229125,-71068610634,-23331972500
2020-04-01,-619914062375,1150755681995,-575191824250,44350204630
2020-04-02,359902579736,270032105559,-623319508843,-6615176452
2020-04-03,-83304988529,348684914381,-288265705409,22885779557
2020-04-06,1036094436023,-843017214655,-201917310769,8840089401
2020-04-07,32868874331,149230047248,-195110587313,13011665734
2020-04-08,-281952392785,451982452209,-134533295640,-35496763784
2020-04-09,-129566342887,294057226398,-178284770844,13793887333
2020-04-10,-205919589435,251994761846,-55835793065,9760620654
2020-04-13,-457552761800,758799642450,-292042275327,-9204605323
2020-04-14,467937939436,-453035680022,-31749385164,16847125750
2020-04-16,136273588590,388811930906,-568747434203,43661914707
2020-04-17,235638255679,-605701408373,318586014752,51477137942
2020-04-20,-484863639611,955966963362,-498011083236,26907759485
2020-04-21,-190382282106,709412446501,-528183819618,9153655223
2020-04-22,-309839955445,317798840795,-35533138241,27574252891
2020-04-23,100017962439,-15559604710,-106228160576,21769802847
2020-04-24,-423055701164,632768479972,-230741717777,21028938969
2020-04-27,527880882011,-549167669529,18318529315,2968258203
2020-04-28,23895898352,85632072279,-124950696134,15422725503
2020-04-29,252151126667,-487025683524,235790015516,-915458659
2020-05-04,-805982640812,1700069132970,-942005387746,47918895588
2020-05-06,309038420939,-137608008,-314565613287,5664800356
2020-05-07,56497946828,253438455675,-320143283944,10206881441
2020-05-08,170472078580,-243158451676,45125905515,27560467581
2020-05-11,-363129748429,511225755471,-170067528550,21971521508
2020-05-12,-298521194203,605736767824,-310539611416,3324037795
2020-05-13,93516742613,215359585362,-317731541505,8855213530
