# 코스피 지수 일별 OHLC · 소스 FinanceDataReader · KS11 · 2026-09-05
일자,시가,고가,저가,종가,거래량
19950502,896.16,906.86,896.16,906.04,29127080.0
19950503,906.02,929.83,906.02,920.73,32060260.0
19950504,920.66,929.08,920.66,922.05,28524250.0
19950506,921.57,927.36,918.45,918.46,16102620.0
19950508,917.84,917.84,909.47,910.39,20899020.0
19950509,910.2,914.52,901.86,903.01,21157120.0
19950510,903.18,904.6,891.77,891.87,15925170.0
19950511,891.15,893.17,884.13,884.79,18953750.0
19950512,884.33,889.11,878.49,886.11,19513790.0
19950513,886.74,896.3,886.74,890.11,21292380.0
19950515,890.23,894.48,887.09,887.11,24671830.0
19950516,887.49,891.05,884.8,885.33,18832910.0
19950517,885.04,892.91,884.53,886.2,20734290.0
19950518,885.41,888.4,879.57,880.4,17311830.0
19950519,881.03,883.88,875.02,876.01,16372600.0
19950520,876.32,876.32,869.63,875.68,9714210.0
19950522,875.0,875.0,863.64,864.13,11841760.0
19950523,862.83,865.12,856.89,856.89,16552030.0
19950524,857.12,859.25,847.26,848.63,15894070.0
19950525,848.17,862.18,839.81,862.18,19776030.0
19950526,861.54,861.54,850.28,850.76,17438250.0
19950527,850.74,850.74,843.7,847.09,9333930.0
19950529,850.36,888.28,850.36,887.5,30181400.0
19950530,881.44,881.8,877.77,881.8,2405310.0
19950531,881.44,883.9,877.77,882.5,25589450.0
19950601,882.57,891.8,882.57,891.43,25558390.0
19950602,891.45,902.93,891.45,894.24,22859600.0
19950603,894.14,894.14,887.74,890.08,15024320.0
19950605,889.31,899.13,888.53,899.04,21867920.0
19950607,898.98,904.94,897.83,899.36,20695460.0
19950608,899.61,903.62,890.61,890.68,19349790.0
19950609,889.92,890.79,885.15,886.83,19130620.0
19950610,887.19,891.71,886.17,886.31,11963450.0
19950612,884.6,887.84,883.98,884.4,15940340.0
19950613,887.08,892.57,887.08,887.32,17932900.0
19950614,887.99,890.23,884.72,886.56,19556550.0
19950615,885.83,886.56,880.9,880.91,20310850.0
19950616,880.8,882.31,877.61,879.24,18816380.0
19950617,879.28,882.79,879.28,880.67,14825130.0
19950619,880.87,886.31,879.92,886.31,20992310.0
19950620,885.79,888.81,883.16,884.35,20841720.0
19950621,883.49,883.69,878.59,878.82,19343930.0
19950622,877.65,879.32,869.34,871.18,18384010.0
19950623,871.14,873.14,866.13,871.96,17978810.0
19950624,872.0,874.9,869.07,872.46,13813190.0
19950626,871.99,873.09,867.91,868.77,21520050.0
19950628,866.64,887.11,859.11,872.68,19138550.0
19950629,872.9,883.92,872.9,883.9,18661870.0
19950630,880.64,894.45,879.04,894.41,25262500.0
19950701,894.94,910.25,894.94,909.59,31099870.0
19950703,909.64,914.12,907.05,914.1,37023240.0
19950704,914.14,914.14,904.93,907.68,35246560.0
19950705,907.66,911.9,904.78,904.98,37322850.0
19950706,905.51,915.03,904.56,914.95,48264000.0
