일자,티커,이름,거래소,시가,고가,저가,종가,거래량
20240313,AVGO,브로드컴,NAS,1282.88,1282.88,1252.355,1257.87,3783848.0
20240313,MU,마이크론,NAS,95.32,95.34,93.1,94.16,16732631.0
20240313,NVDA,엔비디아,NAS,910.55,915.04,884.35,908.88,63571289.0
20240313,QQQ,나스닥100,NAS,442.65,442.67,439.12,440.25,37928691.0
20240313,SMH,반도체ETF2,NAS,225.87,225.87,221.15,223.46,9835835.0
20240313,SOXX,반도체ETF,NAS,227.05,227.37,222.81,224.17,3264589.0
20240313,TSM,TSMC ADR,NYS,143.05,143.23,141.37,142.14,12923058.0
20240314,AVGO,브로드컴,NAS,1262.54,1273.13,1247.71,1262.27,3802938.0
20240314,MU,마이크론,NAS,93.3,93.45,90.3,91.43,16718903.0
20240314,NVDA,엔비디아,NAS,895.77,906.46,866.0,879.44,60231816.0
20240314,QQQ,나스닥100,NAS,441.5,442.03,436.39,439.14,52195208.0
20240314,SMH,반도체ETF2,NAS,222.78,223.9893,217.4109,219.46,11440058.0
20240314,SOXX,반도체ETF,NAS,223.57,224.84,218.12,220.34,4662092.0
20240314,TSM,TSMC ADR,NYS,142.61,143.1,139.02,139.62,14961903.0
20240315,AVGO,브로드컴,NAS,1253.46,1267.37,1230.07,1235.5,8882251.0
20240315,MU,마이크론,NAS,92.48,94.7,92.02,93.25,29579528.0
20240315,NVDA,엔비디아,NAS,869.3,895.46,862.57,878.365,64208616.0
20240315,QQQ,나스닥100,NAS,436.07,438.8733,432.7417,433.92,73069824.0
20240315,SMH,반도체ETF2,NAS,216.94,220.3,215.93,217.84,11402014.0
20240315,SOXX,반도체ETF,NAS,217.4,221.37,217.1,218.76,4105300.0
20240315,TSM,TSMC ADR,NYS,135.44,137.7,134.63,136.98,22751213.0
20240318,AVGO,브로드컴,NAS,1253.98,1262.88,1231.7,1237.24,2573716.0
20240318,MU,마이크론,NAS,96.82,97.08,93.69,93.78,23140267.0
20240318,NVDA,엔비디아,NAS,903.88,924.05,870.85,884.55,66897593.0
20240318,QQQ,나스닥100,NAS,438.73,441.04,437.24,437.48,47323802.0
20240318,SMH,반도체ETF2,NAS,222.17,223.16,217.82,218.28,8671721.0
20240318,SOXX,반도체ETF,NAS,222.5,223.34,218.37,218.59,3143257.0
20240318,TSM,TSMC ADR,NYS,140.18,141.54,136.61,136.64,14732899.0
20240319,AVGO,브로드컴,NAS,1216.95,1240.27,1204.02,1238.01,2449087.0
20240319,MU,마이크론,NAS,92.58,94.16,91.0,94.0,21054656.0
20240319,NVDA,엔비디아,NAS,867.0,905.44,850.1,893.98,67217127.0
20240319,QQQ,나스닥100,NAS,435.45,438.98,433.33,438.57,43004105.0
20240319,SMH,반도체ETF2,NAS,215.72,218.85,212.82,217.8,10606869.0
20240319,SOXX,반도체ETF,NAS,215.745,217.69,212.654,216.76,3558697.0
20240319,TSM,TSMC ADR,NYS,135.3,136.2731,133.03,134.87,17341128.0
20240320,AVGO,브로드컴,NAS,1239.02,1287.99,1226.59,1276.0,4094614.0
20240320,MU,마이크론,NAS,94.99,96.68,93.59,96.25,39807351.0
20240320,NVDA,엔비디아,NAS,897.97,904.1,882.23,903.72,47906279.0
20240320,QQQ,나스닥100,NAS,439.78,444.11,438.06,443.77,43653490.0
20240320,SMH,반도체ETF2,NAS,218.85,221.62,216.83,221.29,9158063.0
20240320,SOXX,반도체ETF,NAS,217.28,221.03,215.53,220.45,3386568.0
20240320,TSM,TSMC ADR,NYS,136.53,137.31,135.01,136.75,12750230.0
20240321,AVGO,브로드컴,NAS,1328.32,1403.61,1316.0,1348.0,7246773.0
20240321,MU,마이크론,NAS,113.365,113.5,108.7816,109.85,89554124.0
20240321,NVDA,엔비디아,NAS,923.0,926.48,904.05,914.35,48037231.0
20240321,QQQ,나스닥100,NAS,448.88,449.34,445.67,445.87,39345652.0
20240321,SMH,반도체ETF2,NAS,228.58,230.05,225.81,226.31,11728038.0
20240321,SOXX,반도체ETF,NAS,227.37,229.28,224.76,225.18,4059795.0
20240321,TSM,TSMC ADR,NYS,142.55,142.6,139.04,139.45,17809393.0
20240322,AVGO,브로드컴,NAS,1350.0,1376.22,1346.15,1353.47,3862386.0
20240322,MU,마이크론,NAS,109.31,111.34,107.0548,110.21,37281438.0
20240322,NVDA,엔비디아,NAS,911.41,947.7799,908.3401,942.89,58671936.0
20240322,QQQ,나스닥100,NAS,445.35,447.49,444.49,446.38,28253899.0
20240322,SMH,반도체ETF2,NAS,225.6,229.2547,225.22,227.64,5350234.0
20240322,SOXX,반도체ETF,NAS,224.16,227.1,223.45,225.45,2658907.0
20240322,TSM,TSMC ADR,NYS,139.4,141.34,139.11,140.54,9944135.0
20240325,AVGO,브로드컴,NAS,1345.03,1358.4399,1337.47,1351.58,2123660.0
20240325,MU,마이크론,NAS,110.24,121.41,110.16,117.13,55766124.0
20240325,NVDA,엔비디아,NAS,939.41,967.6599,935.1,950.02,55213608.0
20240325,QQQ,나스닥100,NAS,443.55,446.26,442.54,444.76,27789154.0
20240325,SMH,반도체ETF2,NAS,225.22,229.24,224.862,227.08,4938942.0
20240325,SOXX,반도체ETF,NAS,222.25,226.61,221.71,224.57,2283509.0
20240325,TSM,TSMC ADR,NYS,140.16,141.68,139.26,140.23,9922244.0
20240326,AVGO,브로드컴,NAS,1364.69,1379.9377,1330.51,1331.49,2352218.0
20240326,MU,마이크론,NAS,119.0,122.4599,118.17,118.8,44295145.0
20240326,NVDA,엔비디아,NAS,958.51,963.75,925.02,925.61,51364758.0
20240326,QQQ,나스닥100,NAS,446.3,447.225,443.09,443.32,34142043.0
20240326,SMH,반도체ETF2,NAS,228.8,229.46,224.76,224.97,6402507.0
20240326,SOXX,반도체ETF,NAS,226.19,226.88,222.83,222.88,4414209.0
20240326,TSM,TSMC ADR,NYS,140.61,140.96,138.64,138.84,10786446.0
20240327,AVGO,브로드컴,NAS,1350.0,1350.0,1296.02,1318.73,2558265.0
20240327,MU,마이크론,NAS,119.3,120.112,117.08,119.25,29320731.0
20240327,NVDA,엔비디아,NAS,931.12,932.4,891.23,902.5,58606723.0
20240327,QQQ,나스닥100,NAS,446.44,446.54,441.93,444.83,41359240.0
20240327,SMH,반도체ETF2,NAS,226.59,226.84,221.49,224.89,7614662.0
20240327,SOXX,반도체ETF,NAS,225.39,225.76,221.4,225.68,4161724.0
20240327,TSM,TSMC ADR,NYS,138.86,139.28,135.15,136.69,13842815.0
20240328,AVGO,브로드컴,NAS,1317.9,1330.09,1311.53,1325.41,1985552.0
20240328,MU,마이크론,NAS,119.44,119.63,117.35,117.89,21047778.0
20240328,NVDA,엔비디아,NAS,900.0,913.0,891.93,903.56,43521227.0
20240328,QQQ,나스닥100,NAS,444.78,445.64,443.65,444.01,36839641.0
20240328,SMH,반도체ETF2,NAS,224.31,225.94,223.74,224.99,3763264.0
20240328,SOXX,반도체ETF,NAS,225.42,227.0,224.91,225.92,1794250.0
20240328,TSM,TSMC ADR,NYS,135.68,136.8,135.44,136.05,10019364.0
20240401,AVGO,브로드컴,NAS,1325.68,1362.98,1325.41,1350.26,1725196.0
20240401,MU,마이크론,NAS,119.195,127.3799,119.0,124.3,44309399.0
20240401,NVDA,엔비디아,NAS,902.99,922.25,892.04,903.63,45244149.0
20240401,QQQ,나스닥100,NAS,444.97,447.53,443.02,444.95,38728951.0
20240401,SMH,반도체ETF2,NAS,225.5,230.95,225.5,227.94,7896809.0
20240401,SOXX,반도체ETF,NAS,226.06,231.45,226.06,228.3,3000859.0
20240401,TSM,TSMC ADR,NYS,137.29,142.96,137.05,141.49,14222662.0
20240402,AVGO,브로드컴,NAS,1315.79,1342.37,1303.4138,1338.76,2469356.0
20240402,MU,마이크론,NAS,122.71,123.68,120.92,122.75,25026423.0
20240402,NVDA,엔비디아,NAS,884.48,900.94,876.2,894.52,43306355.0
20240402,QQQ,나스닥100,NAS,440.08,441.43,438.03,441.11,44259665.0
20240402,SMH,반도체ETF2,NAS,224.25,225.43,222.38,225.01,5995047.0
20240402,SOXX,반도체ETF,NAS,224.54,225.26,222.4,224.78,2383542.0
20240402,TSM,TSMC ADR,NYS,140.38,141.04,139.35,140.22,9869172.0
20240403,AVGO,브로드컴,NAS,1328.0,1376.82,1325.27,1363.21,2865042.0
20240403,MU,마이크론,NAS,122.2,128.28,121.33,128.01,40130137.0
20240403,NVDA,엔비디아,NAS,884.84,903.74,884.0,889.64,37006655.0
20240403,QQQ,나스닥100,NAS,438.96,444.0,438.95,442.1,39949750.0
20240403,SMH,반도체ETF2,NAS,222.73,227.52,222.68,225.91,5914890.0
20240403,SOXX,반도체ETF,NAS,222.17,226.9868,222.14,225.41,1860588.0
20240403,TSM,TSMC ADR,NYS,138.58,142.93,138.39,142.0,9707518.0
20240404,AVGO,브로드컴,NAS,1385.32,1403.98,1315.0,1317.5,2701365.0
20240404,MU,마이크론,NAS,130.18,130.5431,123.65,124.09,36009860.0
20240404,NVDA,엔비디아,NAS,904.06,906.3399,858.8,859.05,43496492.0
20240404,QQQ,나스닥100,NAS,446.33,446.95,435.11,435.34,57267660.0
20240404,SMH,반도체ETF2,NAS,229.1,229.81,219.64,219.89,9294036.0
20240404,SOXX,반도체ETF,NAS,228.51,229.17,218.56,219.03,3743961.0
20240404,TSM,TSMC ADR,NYS,144.0,146.75,139.43,139.66,15759510.0
20240405,AVGO,브로드컴,NAS,1326.0,1361.23,1314.195,1339.43,1943828.0
20240405,MU,마이크론,NAS,124.4,125.69,121.2001,123.58,23326521.0
20240405,NVDA,엔비디아,NAS,868.66,884.81,859.26,880.08,39967846.0
20240405,QQQ,나스닥100,NAS,436.78,443.17,435.96,440.47,54744634.0
20240405,SMH,반도체ETF2,NAS,221.22,224.07,219.61,222.64,8103963.0
20240405,SOXX,반도체ETF,NAS,220.0,223.0,218.5825,221.63,2428251.0
20240405,TSM,TSMC ADR,NYS,140.0,142.0,138.92,141.36,8263641.0
20240408,AVGO,브로드컴,NAS,1333.65,1342.5,1315.7501,1336.1,1713917.0
20240408,MU,마이크론,NAS,129.055,129.7,122.61,122.95,27955768.0
20240408,NVDA,엔비디아,NAS,887.0,888.3,867.32,871.33,28322000.0
20240408,QQQ,나스닥100,NAS,441.41,442.5,439.2,440.6,28144944.0
20240408,SMH,반도체ETF2,NAS,224.89,225.28,222.17,223.06,4215259.0
20240408,SOXX,반도체ETF,NAS,222.94,224.11,221.31,222.2,1866884.0
20240408,TSM,TSMC ADR,NYS,145.24,146.0,142.76,142.79,16307401.0
20240409,AVGO,브로드컴,NAS,1357.37,1359.48,1308.64,1334.08,1800794.0
20240409,MU,마이크론,NAS,124.89,126.14,121.27,122.63,19243787.0
20240409,NVDA,엔비디아,NAS,874.42,876.35,830.22,853.54,50354735.0
20240409,QQQ,나스닥100,NAS,442.96,443.24,437.44,442.23,39521568.0
20240409,SMH,반도체ETF2,NAS,225.36,225.95,220.04,224.1,5376028.0
20240409,SOXX,반도체ETF,NAS,224.44,225.3,220.755,224.59,3173009.0
20240409,TSM,TSMC ADR,NYS,146.26,148.1699,142.95,145.4,18487980.0
20240410,AVGO,브로드컴,NAS,1323.0,1335.75,1315.48,1322.37,1746652.0
20240410,MU,마이크론,NAS,120.0,124.48,119.93,122.2,22242282.0
20240410,NVDA,엔비디아,NAS,839.26,874.0,837.09,870.39,43192853.0
20240410,QQQ,나스닥100,NAS,437.0,439.24,436.28,438.37,61502191.0
20240410,SMH,반도체ETF2,NAS,221.0,224.3769,220.5,222.15,8164904.0
20240410,SOXX,반도체ETF,NAS,220.84,223.425,219.225,220.49,3610492.0
20240410,TSM,TSMC ADR,NYS,146.63,148.43,145.26,146.22,18861324.0
20240411,AVGO,브로드컴,NAS,1332.68,1391.87,1323.65,1382.46,3171331.0
20240411,MU,마이크론,NAS,122.9,127.56,122.08,127.51,21745300.0
20240411,NVDA,엔비디아,NAS,874.2,907.3899,869.26,906.16,43163727.0
20240411,QQQ,나스닥100,NAS,440.26,446.33,437.96,445.37,45474550.0
20240411,SMH,반도체ETF2,NAS,223.48,227.57,221.68,227.31,7200625.0
20240411,SOXX,반도체ETF,NAS,221.88,225.87,220.06,225.47,2455324.0
20240411,TSM,TSMC ADR,NYS,147.2,147.56,144.13,147.2,11818761.0
20240412,AVGO,브로드컴,NAS,1352.01,1366.505,1336.62,1344.07,2782332.0
20240412,MU,마이크론,NAS,125.25,125.99,121.83,122.52,24808212.0
20240412,NVDA,엔비디아,NAS,896.99,901.7499,875.3,881.86,42680479.0
20240412,QQQ,나스닥100,NAS,441.1,442.24,436.88,438.27,53664995.0
20240412,SMH,반도체ETF2,NAS,223.5,223.8199,219.97,220.68,8741486.0
20240412,SOXX,반도체ETF,NAS,221.49,221.76,217.64,218.07,3210362.0
20240412,TSM,TSMC ADR,NYS,145.0,146.51,142.15,142.52,12024043.0
20240415,AVGO,브로드컴,NAS,1370.0,1370.0,1306.0,1310.69,2437045.0
20240415,MU,마이크론,NAS,123.63,124.78,120.61,121.37,17732610.0
20240415,NVDA,엔비디아,NAS,890.98,906.13,859.2901,860.01,44307695.0
20240415,QQQ,나스닥100,NAS,442.06,442.15,430.21,431.06,63453622.0
20240415,SMH,반도체ETF2,NAS,223.75,224.98,216.61,217.36,6750355.0
20240415,SOXX,반도체ETF,NAS,221.05,221.86,214.24,215.31,3170838.0
