# 국제 금 **현물** 시세 (USD/트로이온스, 일별) · XAU/USD
#   창구 — investing.com API(instrumentId 68). scripts/gold_spot.py 가 만든다.
#   ⚠ 직접 HTTP 는 403 이라 **Aside 브라우저**로만 받는다. cron 에서 못 돈다.
#   ⚠ **1985년 이전은 종가만 믿는다** — 시·고·저가 종가 복사다.
#      실측 flat 비율: 1980~84 100% · 1985~89 29% · 1990~94 3% · 1995~ 2%.
#      이 파일 전체 flat 비율 14.5%.
#   ⚠ 월별(금가격_월별_1833)은 현물, 일별(금가격_일별)은 COMEX 선물이다.
#      선물은 콘탱고로 현물보다 중앙 +0.5% 높다. 셋을 섞어 쓰지 않는다.
date,open,high,low,close
1979-12-27,515.50,515.50,515.50,515.50
1979-12-28,512.00,512.00,512.00,512.00
1980-01-01,512.00,512.00,512.00,512.00
1980-01-02,559.75,559.75,559.75,559.75
1980-01-03,634.25,634.25,634.25,634.25
1980-01-04,634.25,634.25,634.25,634.25
1980-01-07,634.00,634.00,634.00,634.00
1980-01-08,610.00,610.00,610.00,610.00
1980-01-09,607.20,607.20,607.20,607.20
1980-01-10,603.35,603.35,603.35,603.35
1980-01-11,623.00,623.00,623.00,623.00
1980-01-14,660.00,660.00,660.00,660.00
1980-01-15,684.00,684.00,684.00,684.00
1980-01-16,760.00,760.00,760.00,760.00
1980-01-17,750.00,750.00,750.00,750.00
1980-01-18,835.00,835.00,835.00,835.00
1980-01-21,835.00,835.00,835.00,835.00
1980-01-22,737.50,737.50,737.50,737.50
1980-01-23,695.00,695.00,695.00,695.00
1980-01-24,717.00,717.00,717.00,717.00
1980-01-25,668.00,668.00,668.00,668.00
1980-01-28,624.00,624.00,624.00,624.00
1980-01-29,674.25,674.25,674.25,674.25
1980-01-30,691.00,691.00,691.00,691.00
1980-01-31,653.00,653.00,653.00,653.00
1980-02-01,676.50,676.50,676.50,676.50
1980-02-04,669.75,669.75,669.75,669.75
1980-02-05,669.75,669.75,669.75,669.75
1980-02-06,709.00,709.00,709.00,709.00
1980-02-07,699.25,699.25,699.25,699.25
1980-02-08,692.00,692.00,692.00,692.00
1980-02-11,710.50,710.50,710.50,710.50
1980-02-12,694.50,694.50,694.50,694.50
1980-02-13,696.75,696.75,696.75,696.75
1980-02-14,682.00,682.00,682.00,682.00
1980-02-15,667.00,667.00,667.00,667.00
1980-02-18,667.00,667.00,667.00,667.00
1980-02-19,652.25,652.25,652.25,652.25
1980-02-20,652.25,652.25,652.25,652.25
1980-02-21,665.00,665.00,665.00,665.00
1980-02-22,630.00,630.00,630.00,630.00
1980-02-25,616.50,616.50,616.50,616.50
1980-02-26,642.25,642.25,642.25,642.25
1980-02-27,636.00,636.00,636.00,636.00
1980-02-28,646.00,646.00,646.00,646.00
1980-02-29,637.00,637.00,637.00,637.00
1980-03-03,663.75,663.75,663.75,663.75
1980-03-04,631.25,631.25,631.25,631.25
1980-03-05,643.50,643.50,643.50,643.50
1980-03-06,643.50,643.50,643.50,643.50
1980-03-07,609.00,609.00,609.00,609.00
1980-03-10,585.00,585.00,585.00,585.00
1980-03-11,570.25,570.25,570.25,570.25
1980-03-12,585.70,585.70,585.70,585.70
1980-03-13,556.50,556.50,556.50,556.50
1980-03-14,523.00,523.00,523.00,523.00
1980-03-17,484.00,484.00,484.00,484.00
1980-03-18,481.50,481.50,481.50,481.50
1980-03-19,527.00,527.00,527.00,527.00
1980-03-20,561.00,561.00,561.00,561.00
1980-03-21,561.00,561.00,561.00,561.00
1980-03-24,558.25,558.25,558.25,558.25
1980-03-25,547.25,547.25,547.25,547.25
