# 메모리 반도체 수출물가지수 · 한국은행 ECOS 402Y016 · **달러 기준**(환율 영향 제외) · 2020=100
# ⚠ 트렌드포스의 «가격»과 다르다 — 이것은 지수이고 통관 기준이라 한 달 늦다
# 검량 계약통화기준과 절대 편차 중앙 1.241%
연월,DRAM,플래시메모리,시스템반도체,DRAM_계약통화
197101,1275845.53,,,1259799.62
197102,1275845.53,,,1259799.62
197103,1275845.53,,,1259799.62
197104,1275845.53,,,1259799.62
197105,1275845.53,,,1259799.62
197106,1275845.53,,,1259799.62
197107,1275845.53,,,1259799.62
197108,1275845.53,,,1259799.62
197109,1275845.53,,,1259799.62
197110,1275845.53,,,1259799.62
197111,1275845.53,,,1259799.62
197112,1274168.27,,,1259799.62
197201,1275845.53,,,1259799.62
197202,1275845.53,,,1259799.62
197203,818333.82,,,808041.98
197204,818333.82,,,808041.98
197205,818333.82,,,808041.98
197206,818333.82,,,808041.98
197207,818333.82,,,808041.98
197208,818333.82,,,808041.98
197209,818333.82,,,808041.98
197210,818333.82,,,808041.98
197211,818333.82,,,808041.98
197212,817811.22,,,808041.98
197301,818333.82,,,808041.98
197302,818333.82,,,808041.98
197303,616282.43,,,608531.43
197304,616282.43,,,608531.43
197305,616282.43,,,608531.43
197306,616282.43,,,608531.43
197307,616282.43,,,608531.43
197308,616282.43,,,608531.43
197309,616282.43,,,608531.43
197310,616282.43,,,608531.43
197311,616282.43,,,608531.43
197312,613801.63,,,608531.43
197401,334801.09,,,330592.73
197402,334801.09,,,330592.73
197403,334801.09,,,330592.73
197404,334801.09,,,330592.73
197405,335411.71,,,331196.05
197406,335411.71,,,331196.05
197407,346030.95,,,341682.11
197408,346030.95,,,341682.11
197409,346030.95,,,341682.11
197410,346030.95,,,341682.11
197411,346030.95,,,341682.11
197412,343332.97,,,341682.11
197501,341730.22,,,337541.91
197502,341730.22,,,337541.91
197503,341730.22,,,337541.91
197504,341730.22,,,337541.91
197505,341730.22,,,337541.91
197506,341730.22,,,337541.91
197507,341730.22,,,337541.91
197508,341730.22,,,337541.91
197509,341730.22,,,337541.91
197510,341730.22,,,337541.91
197511,341730.22,,,337541.91
197512,341730.22,,,337541.91
197601,341730.22,,,337541.91
197602,341730.22,,,337541.91
197603,341730.22,,,337541.91
197604,341730.22,,,337541.91
197605,341730.22,,,337541.91
197606,341730.22,,,337541.91
197607,343562.25,,,339351.67
197608,348004.47,,,343739.47
197609,348432.95,,,344162.66
197610,362180.16,,,357741.33
197611,362180.16,,,357741.33
197612,362180.16,,,357741.33
197701,362180.16,,,357741.33
197702,362180.16,,,357741.33
197703,362180.16,,,357741.33
197704,362180.16,,,357741.33
197705,362180.16,,,357741.33
197706,362180.16,,,357741.33
197707,351495.59,,,347187.84
197708,351618.68,,,347309.19
197709,351495.59,,,347187.84
197710,351495.59,,,347187.84
197711,351495.59,,,347187.84
197712,351495.59,,,347187.84
197801,351495.59,,,347187.84
