# 비트코인 일별 — 업비트 **KRW/BTC**. scripts/crypto_daily.py 가 만든다.
# ⚠⚠ **원화다. 달러가 아니다.** 환율로 곱해도 글로벌 달러 가격과 다르다 —
#   국내 프리미엄이 얹혀 있다. 달러 기준 수준(예: «6만 5,100달러»)을
#   말할 때 이 파일을 쓰지 말 것. 방향과 등락률에만 쓴다.
# ⚠ 창구가 짧을 수 있어 **덮어쓰지 않고 합친다.**
date,open,high,low,close,volume
2017-09-25,4201000,4333000,4175000,4322000,132.48475499
2017-09-26,4317000,4418000,4311000,4321000,22.78833969
2017-09-27,4322000,4677000,4318000,4657000,32.2696617
2017-09-28,4657000,4772000,4519000,4586000,80.5882434
2017-09-29,4586000,4709000,4476000,4657000,59.35237346
2017-09-30,4657000,4896000,4651000,4895000,19.99848332
2017-10-01,4889000,4978000,4682000,4962000,27.32333246
2017-10-02,4962000,5095000,4956000,5025000,31.72800385
2017-10-03,5021000,5079000,4811000,4964000,11.89930699
2017-10-04,4987000,5002000,4837000,4895000,7.03874388
2017-10-05,4894000,4993000,4811000,4926000,5.36365175
2017-10-06,4927000,5034000,4885000,5027000,25.16382027
2017-10-07,4983000,5070000,4935000,5047000,4.343932
2017-10-08,5044000,5263000,4993000,5217000,145.91785961
2017-10-09,5222000,5761000,5188000,5477000,8.07043419
2017-10-10,5469000,5665000,5459000,5486000,11.69369387
2017-10-11,5533000,5605000,5451000,5557000,4.21265003
2017-10-12,5569000,6377000,5515000,6332000,20.91828711
2017-10-13,6346000,6950000,6149000,6438000,26.82608423
2017-10-14,6427000,6664000,6322000,6664000,3.35282452
2017-10-15,6610000,6700000,6142000,6381000,7.63078273
2017-10-16,6403000,6527000,6282000,6491000,22.92663476
2017-10-17,6495000,6510000,6299000,6457000,4.24133721
2017-10-18,6413000,6489000,5876000,6391000,36.00111898
2017-10-19,6405000,6596000,6109000,6511000,11.95565558
2017-10-20,6536000,6954000,6395000,6928000,21.97426401
2017-10-21,6928000,7253000,6773000,6874000,5.46210809
2017-10-22,6858000,7060000,6709000,7039000,4.39101644
2017-10-23,7017000,7100000,6668000,6971000,14.03934445
2017-10-24,7034000,7052000,6350000,6479000,98.6742294
2017-10-25,6479000,6644000,6212000,6643000,108.36397361
2017-10-26,6643000,6873000,6534000,6811000,428.50851968
2017-10-27,6765000,6950000,6633000,6710000,431.20412963
2017-10-28,6708000,6800000,6600000,6715000,404.19563617
2017-10-29,6715000,7030000,6588000,6961000,656.27989369
2017-10-30,6961000,7007000,6809000,6964000,521.84628417
2017-10-31,6965000,7479000,6965000,7422000,1170.54812455
2017-11-01,7422000,7799000,7256000,7798000,1164.45059943
2017-11-02,7790000,8596000,7500000,8217000,1806.67768011
2017-11-03,8219000,8478000,8000000,8143000,1025.40458685
2017-11-04,8136000,8400000,7560000,8346000,881.59851324
2017-11-05,8345000,8620000,8280000,8453000,993.49954201
2017-11-06,8454000,8480000,8030000,8060000,1914.09607157
2017-11-07,8060000,8413000,8050000,8243000,1858.95589505
2017-11-08,8244000,8639000,8060000,8339000,2280.72049163
2017-11-09,8338000,8340000,8041000,8148000,2491.80910057
2017-11-10,8150000,8240000,7320000,7541000,3612.89564315
2017-11-11,7541000,7897000,7009000,7231000,3407.25730505
2017-11-12,7231000,8250000,6476000,7132000,8255.02328981
2017-11-13,7132000,7898000,6921000,7487000,9275.45757255
2017-11-14,7471000,7699000,7430000,7591000,6500.25828248
2017-11-15,7592000,8397000,7560000,8350000,7565.29668171
2017-11-16,8350000,8750000,8150000,8710000,7885.12189571
2017-11-17,8710000,8899000,8400000,8541000,8479.64307876
2017-11-18,8542000,8699000,8356000,8618000,8359.23158399
2017-11-19,8618000,8888000,8495000,8770000,6018.17460761
2017-11-20,8770000,9181000,8655000,9025000,11144.14671373
2017-11-21,8994000,9230000,8500000,8944000,14774.66683164
2017-11-22,8944000,9200000,8932000,9084000,13847.87059897
2017-11-23,9084000,9134000,8905000,8943000,13841.87719654
2017-11-24,8945000,9670000,7182000,9195000,22584.05850985
2017-11-25,9195000,9908000,8930000,9879000,13583.46813243
2017-11-26,9879000,10750000,9751000,10344000,21616.95893054
2017-11-27,10339000,11320000,10333000,11314000,19495.17150332
2017-11-28,11315000,12074000,11111000,12048000,31149.61770187
2017-11-29,12050000,13750000,10800000,11104000,46072.10048672
2017-11-30,11114000,12550000,10017000,11935000,41015.72824001
2017-12-01,11935000,12680000,11201000,12532000,30105.44287949
2017-12-02,12532000,13180000,12350000,12971000,29070.16589351
2017-12-03,12970000,13529000,12840000,13128000,26158.44322038
2017-12-04,13120000,13688000,13119000,13684000,23034.66918821
2017-12-05,13683000,14794000,13612000,14645000,27842.82483202
2017-12-06,14645000,19006000,14645000,18390000,46874.81572282
2017-12-07,18389000,23860000,17965000,23791000,55171.05694429
2017-12-08,23795000,24967000,16521000,20260000,101681.96225121
2017-12-09,20259000,20877000,15257000,17769000,57286.61272035
2017-12-10,17769000,18537000,13744000,17661000,87737.90180131
2017-12-11,17661000,19989000,17520000,19307000,49104.26522594
2017-12-12,19307000,19549000,18497000,18940000,37765.66828121
2017-12-13,18943000,19301000,17379000,18358000,38816.44091324
2017-12-14,18356000,19312000,18101000,18660000,39274.3089533
2017-12-15,18664000,21558000,18539000,20075000,53514.06078424
2017-12-16,20080000,22475000,19810000,22205000,41694.09111338
2017-12-17,22208000,22961000,21000000,21881000,35122.33783135
2017-12-18,21881000,22280000,20980000,22087000,39510.42923015
2017-12-19,22086000,23741000,20450000,22367000,48064.50573599
2017-12-20,22385000,23299000,20600000,22638000,41426.79458212
2017-12-21,22638000,23950000,20750000,22200000,43263.77604079
2017-12-22,22200000,22840000,16105000,19089000,79976.23837469
2017-12-23,19090000,21120000,18312000,20525000,58485.96741678
2017-12-24,20523000,20770000,18499000,19592000,47643.13660186
2017-12-25,19589000,19950000,19210000,19822000,36350.71167524
2017-12-26,19820000,22750000,19730000,21933000,54654.19806036
2017-12-27,21932000,22650000,21074000,21970000,37639.65248022
2017-12-28,21964000,22000000,18323000,19565000,45244.24799131
2017-12-29,19565000,19738000,18530000,19290000,37594.01226698
2017-12-30,19290000,19478000,17800000,18415000,42305.07850317
2017-12-31,18401000,19637000,18208000,19280000,29363.72193703
2018-01-01,19278000,19420000,18290000,18860000,27949.67613401
2018-01-02,18875000,21720000,18510000,20263000,41968.47300909
2018-01-03,20263000,21329000,19520000,20900000,43168.2576045
2018-01-04,20899000,23685000,19700000,23402000,45192.45174241
2018-01-05,23403000,28589000,22338000,27444000,56774.8498417
2018-01-06,27451000,28885000,23966000,26924000,48971.92813081
2018-01-07,26924000,27210000,24543000,25859000,31015.72258622
2018-01-08,25859000,26449000,23850000,25230000,44839.78332164
2018-01-09,25200000,25786000,22858000,24016000,41558.52968619
2018-01-10,24015000,24200000,19689000,21317000,43736.28693252
2018-01-11,21300000,21890000,14104000,19389000,61924.52562032
2018-01-12,19359000,21143000,18005000,20745000,43734.14210793
2018-01-13,20750000,21399000,19886000,21135000,30172.38452901
2018-01-14,21130000,21299000,18131000,19206000,30105.53009772
2018-01-15,19210000,20143000,18201000,19106000,29582.95249892
2018-01-16,19107000,19219000,11543000,14279000,59293.11406178
2018-01-17,14279000,15722000,11901000,14951000,60203.17701055
2018-01-18,14954000,16370000,13650000,14880000,44001.92022842
2018-01-19,14879000,15448000,14352000,15372000,27555.99477285
2018-01-20,15370000,17208000,15225000,16858000,51147.45641776
2018-01-21,16852000,16943000,13735000,14640000,44140.37058853
2018-01-22,14640000,14910000,12981000,13944000,30529.67525826
2018-01-23,13968000,14044000,12311000,13141000,28032.38238629
2018-01-24,13139000,13780000,12600000,13450000,24236.06233141
2018-01-25,13450000,13900000,12800000,12973000,18943.75635587
2018-01-26,12973000,13350000,11500000,12876000,30279.96147663
2018-01-27,12876000,13132000,12300000,12900000,18535.39984957
2018-01-28,12903000,13570000,12810000,13352000,20508.73672486
2018-01-29,13351000,13489000,12560000,12909000,15844.07278917
2018-01-30,12909000,12957000,11310000,11627000,21206.17024434
2018-01-31,11658000,11900000,10400000,11429000,23175.02109439
2018-02-01,11439000,11490000,10011000,10070000,22225.67551126
2018-02-02,10061000,10120000,7830000,9410000,52018.46095277
2018-02-03,9410000,10200000,8400000,9520000,25405.73722415
2018-02-04,9524000,10158000,8765000,8900000,18781.02389914
2018-02-05,8900000,9250000,7715000,7832000,20709.59917348
2018-02-06,7831000,8698000,6620000,8642000,44456.45172294
2018-02-07,8646000,9199000,7990000,8387000,33928.15634331
2018-02-08,8410000,9690000,8410000,9480000,38113.82546535
2018-02-09,9479000,9934000,9041000,9929000,29459.15309411
2018-02-10,9929000,10656000,9475000,9959000,33057.11964565
2018-02-11,9958000,10045000,9021000,9320000,17672.61615308
2018-02-12,9319000,10195000,9305000,10140000,14756.72285892
2018-02-13,10149000,10220000,9630000,9906000,13735.57073936
2018-02-14,9906000,10510000,9896000,10473000,17264.67105928
2018-02-15,10473000,11459000,10355000,11357000,26678.52011813
2018-02-16,11357000,11800000,11151000,11462000,20284.75192278
2018-02-17,11452000,12318000,11400000,12300000,34046.21887429
2018-02-18,12300000,12755000,11522000,11966000,44163.19851131
2018-02-19,11966000,12663000,11862000,12649000,22700.15187526
2018-02-20,12649000,14149000,12645000,13548000,41015.58477391
2018-02-21,13542000,13650000,12411000,12815000,37637.76832665
2018-02-22,12823000,13031000,11660000,11763000,37219.85617238
2018-02-23,11761000,12170000,11271000,12065000,31053.11554548
2018-02-24,12065000,12359000,11281000,11553000,21762.37417394
2018-02-25,11553000,11613000,10805000,11230000,16499.63847015
2018-02-26,11230000,11884000,10828000,11773000,24307.10812212
2018-02-27,11778000,12165000,11463000,11951000,20616.46007981
2018-02-28,11957000,12405000,11777000,11860000,21114.42802459
2018-03-01,11865000,12250000,11603000,12214000,20882.28518046
2018-03-02,12214000,12581000,12123000,12465000,23945.11755659
2018-03-03,12465000,12831000,12347000,12831000,18163.17519084
2018-03-04,12831000,12840000,12255000,12592000,16125.74325513
2018-03-05,12592000,12899000,12451000,12746000,13919.50036247
2018-03-06,12745000,12746000,11900000,12023000,15007.19978396
2018-03-07,12023000,12221000,10900000,11200000,29131.72046073
2018-03-08,11200000,11347000,10473000,10517000,21348.23284178
2018-03-09,10519000,10644000,9306000,10418000,36119.23291786
