일자,시장,종목수,상승,하락,하락비율,급락비율
20220104,코스닥,1374,812,562,40.9,2.11
20220104,코스피,844,505,339,40.17,0.71
20220105,코스닥,1392,348,1044,75.0,8.48
20220105,코스피,871,317,554,63.61,2.76
20220106,코스닥,1399,288,1111,79.41,12.29
20220106,코스피,888,223,665,74.89,3.94
20220107,코스닥,1384,1111,273,19.73,1.66
20220107,코스피,855,648,207,24.21,0.7
20220110,코스닥,1399,375,1024,73.2,5.86
20220110,코스피,873,258,615,70.45,3.67
20220111,코스닥,1409,291,1118,79.35,7.52
20220111,코스피,887,170,717,80.83,2.82
20220112,코스닥,1381,1126,255,18.46,1.3
20220112,코스피,870,730,140,16.09,0.57
20220113,코스닥,1357,515,842,62.05,3.76
20220113,코스피,860,411,449,52.21,1.28
20220114,코스닥,1371,430,941,68.64,3.5
20220114,코스피,867,204,663,76.47,1.96
20220117,코스닥,1411,275,1136,80.51,9.85
20220117,코스피,901,156,745,82.69,4.22
20220118,코스닥,1394,269,1125,80.7,6.89
20220118,코스피,896,170,726,81.03,6.14
20220119,코스닥,1383,357,1026,74.19,4.19
20220119,코스피,883,230,653,73.95,2.49
20220120,코스닥,1397,1203,194,13.89,0.86
20220120,코스피,880,706,174,19.77,0.57
20220121,코스닥,1383,392,991,71.66,5.5
20220121,코스피,856,246,610,71.26,3.39
20220124,코스닥,1432,154,1278,89.25,21.3
20220124,코스피,902,85,817,90.58,9.87
20220125,코스닥,1432,132,1300,90.78,30.24
20220125,코스피,915,53,862,94.21,20.55
20220126,코스닥,1336,714,622,46.56,2.84
20220126,코스피,860,485,375,43.6,1.86
20220127,코스닥,1433,153,1280,89.32,30.15
20220127,코스피,916,61,855,93.34,23.69
20220128,코스닥,1429,1284,145,10.15,1.33
20220128,코스피,914,855,59,6.46,0.77
20220203,코스닥,1407,1221,186,13.22,0.71
20220203,코스피,899,809,90,10.01,0.22
20220204,코스닥,1397,1088,309,22.12,3.58
20220204,코스피,889,767,122,13.72,1.46
20220207,코스닥,1356,655,701,51.7,1.4
20220207,코스피,852,467,385,45.19,0.47
20220208,코스닥,1368,395,973,71.13,3.29
20220208,코스피,856,312,544,63.55,1.52
20220209,코스닥,1405,1161,244,17.37,0.78
20220209,코스피,882,757,125,14.17,0.79
20220210,코스닥,1355,380,975,71.96,4.06
20220210,코스피,844,373,471,55.81,1.18
20220211,코스닥,1413,209,1204,85.21,7.5
20220211,코스피,892,166,726,81.39,4.04
20220214,코스닥,1428,108,1320,92.44,26.75
20220214,코스피,903,116,787,87.15,9.97
20220215,코스닥,1400,261,1139,81.36,7.29
20220215,코스피,872,174,698,80.05,6.42
20220216,코스닥,1441,1376,65,4.51,0.62
20220216,코스피,896,832,64,7.14,0.56
20220217,코스닥,1351,582,769,56.92,1.63
20220217,코스피,832,460,372,44.71,0.72
20220218,코스닥,1366,1058,308,22.55,0.44
20220218,코스피,846,620,226,26.71,0.71
20220221,코스닥,1341,654,687,51.23,0.97
20220221,코스피,829,399,430,51.87,0.6
20220222,코스닥,1417,157,1260,88.92,8.61
20220222,코스피,879,101,778,88.51,4.1
20220223,코스닥,1345,1049,296,22.01,0.89
20220223,코스피,850,672,178,20.94,0.0
20220224,코스닥,1448,89,1359,93.85,23.96
20220224,코스피,903,106,797,88.26,10.41
20220225,코스닥,1422,1262,160,11.25,1.69
20220225,코스피,889,720,169,19.01,2.36
20220228,코스닥,1354,934,420,31.02,1.7
20220228,코스피,869,629,240,27.62,1.04
20220302,코스닥,1406,1156,250,17.78,0.43
20220302,코스피,871,642,229,26.29,0.8
20220303,코스닥,1386,1097,289,20.85,1.59
20220303,코스피,879,696,183,20.82,1.25
20220304,코스닥,1370,439,931,67.96,2.55
20220304,코스피,849,361,488,57.48,1.18
20220307,코스닥,1428,170,1258,88.1,7.56
20220307,코스피,894,139,755,84.45,3.69
20220308,코스닥,1407,233,1174,83.44,6.54
20220308,코스피,880,148,732,83.18,7.39
20220310,코스닥,1395,1109,286,20.5,2.15
20220310,코스피,879,695,184,20.93,2.5
20220311,코스닥,1375,913,462,33.6,0.8
20220311,코스피,857,583,274,31.97,1.28
20220314,코스닥,1393,288,1105,79.33,7.97
20220314,코스피,870,253,617,70.92,3.79
20220315,코스닥,1352,542,810,59.91,2.96
20220315,코스피,857,287,570,66.51,2.57
20220316,코스닥,1405,1217,188,13.38,0.78
20220316,코스피,862,734,128,14.85,0.46
20220317,코스닥,1382,1132,250,18.09,1.09
20220317,코스피,849,596,253,29.8,0.59
20220318,코스닥,1356,921,435,32.08,0.52
20220318,코스피,850,546,304,35.76,0.47
20220321,코스닥,1370,629,741,54.09,1.68
20220321,코스피,848,454,394,46.46,1.3
20220322,코스닥,1350,887,463,34.3,1.48
20220322,코스피,835,578,257,30.78,0.96
20220323,코스닥,1358,700,658,48.45,1.55
20220323,코스피,829,529,300,36.19,0.72
20220324,코스닥,1352,712,640,47.34,1.48
20220324,코스피,840,479,361,42.98,1.31
20220325,코스닥,1362,677,685,50.29,1.69
20220325,코스피,845,342,503,59.53,1.3
20220328,코스닥,1373,589,784,57.1,3.06
20220328,코스피,849,421,428,50.41,1.77
20220329,코스닥,1361,824,537,39.46,2.28
20220329,코스피,861,475,386,44.83,2.79
20220330,코스닥,1340,618,722,53.88,3.13
20220330,코스피,846,414,432,51.06,1.3
20220331,코스닥,1346,870,476,35.36,1.19
20220331,코스피,844,604,240,28.44,0.24
20220401,코스닥,1375,576,799,58.11,2.69
20220401,코스피,850,361,489,57.53,1.41
20220404,코스닥,1367,941,426,31.16,1.46
20220404,코스피,846,603,243,28.72,0.24
20220405,코스닥,1347,769,578,42.91,1.93
20220405,코스피,844,421,423,50.12,1.18
20220406,코스닥,1400,396,1004,71.71,1.86
20220406,코스피,859,275,584,67.99,1.51
20220407,코스닥,1420,223,1197,84.3,7.96
20220407,코스피,892,189,703,78.81,4.6
20220408,코스닥,1360,737,623,45.81,1.91
20220408,코스피,835,442,393,47.07,1.32
20220411,코스닥,1389,476,913,65.73,4.18
20220411,코스피,837,399,438,52.33,2.27
20220412,코스닥,1384,360,1024,73.99,2.38
20220412,코스피,869,226,643,73.99,1.96
20220413,코스닥,1389,1086,303,21.81,1.22
20220413,코스피,878,714,164,18.68,1.03
20220414,코스닥,1331,676,655,49.21,1.58
20220414,코스피,847,540,307,36.25,0.94
20220415,코스닥,1352,609,743,54.96,1.55
20220415,코스피,844,425,419,49.64,0.71
20220418,코스닥,1358,497,861,63.4,3.46
20220418,코스피,840,423,417,49.64,1.55
20220419,코스닥,1352,969,383,28.33,0.81
20220419,코스피,853,605,248,29.07,0.7
20220420,코스닥,1340,679,661,49.33,1.94
20220420,코스피,830,513,317,38.19,1.2
20220421,코스닥,1335,626,709,53.11,1.57
20220421,코스피,843,443,400,47.45,1.9
20220422,코스닥,1368,415,953,69.66,1.39
20220422,코스피,862,312,550,63.81,0.93
20220425,코스닥,1433,177,1256,87.65,10.12
20220425,코스피,903,142,761,84.27,4.98
20220426,코스닥,1362,977,385,28.27,1.32
20220426,코스피,866,550,316,36.49,1.04
20220427,코스닥,1400,293,1107,79.07,4.71
20220427,코스피,888,193,695,78.27,4.39
20220428,코스닥,1364,511,853,62.54,2.64
20220428,코스피,856,490,366,42.76,2.1
20220429,코스닥,1369,1080,289,21.11,1.17
20220429,코스피,860,566,294,34.19,1.05
20220502,코스닥,1362,642,720,52.86,0.95
20220502,코스피,837,424,413,49.34,0.24
20220503,코스닥,1336,766,570,42.66,1.42
20220503,코스피,843,368,475,56.35,0.83
20220504,코스닥,1373,353,1020,74.29,4.37
20220504,코스피,866,272,594,68.59,3.35
20220506,코스닥,1394,306,1088,78.05,4.09
20220506,코스피,882,227,655,74.26,2.27
20220509,코스닥,1431,136,1295,90.5,15.65
20220509,코스피,904,88,816,90.27,9.96
20220510,코스닥,1382,435,947,68.52,2.89
20220510,코스피,876,262,614,70.09,3.2
20220511,코스닥,1361,718,643,47.24,0.81
20220511,코스피,862,359,503,58.35,1.86
20220512,코스닥,1450,111,1339,92.34,24.07
20220512,코스피,911,117,794,87.16,12.84
20220513,코스닥,1387,1142,245,17.66,1.3
20220513,코스피,885,740,145,16.38,1.47
20220516,코스닥,1392,879,513,36.85,2.01
20220516,코스피,857,542,315,36.76,0.82
20220517,코스닥,1358,869,489,36.01,2.65
20220517,코스피,845,501,344,40.71,2.49
20220518,코스닥,1349,618,731,54.19,2.3
20220518,코스피,843,339,504,59.79,1.3
20220519,코스닥,1397,278,1119,80.1,2.93
20220519,코스피,890,123,767,86.18,2.58
20220520,코스닥,1380,977,403,29.2,0.8
20220520,코스피,842,654,188,22.33,0.36
20220523,코스닥,1382,647,735,53.18,2.68
20220523,코스피,828,364,464,56.04,2.05
