# 미국 실질 주택가격 지수 (1890=100) · Robert Shiller, Irrational Exuberance Fig 3-1 · 2026-08-23
# ⚠ 이미 물가를 뺀 «실질» 계열이다. 다른 실질 수익률과 바로 견줄 수 있다.
#   1953년 이전은 연 단위 자료를 그해 1월에 놓았다. 월별은 그 뒤부터다.
date,real_index
1890-01,100.0
1891-01,88.012
1892-01,95.422
1893-01,92.297
1894-01,123.98
1895-01,117.455
1896-01,100.303
1897-01,106.516
1898-01,110.184
1899-01,103.853
1900-01,101.574
1901-01,87.326
1902-01,100.474
1903-01,93.075
1904-01,101.854
1905-01,87.249
1906-01,103.525
1907-01,109.317
1908-01,100.819
1909-01,95.38
1910-01,93.111
1911-01,97.543
1912-01,102.365
1913-01,95.409
1914-01,96.977
1915-01,88.149
1916-01,93.725
1917-01,85.009
1918-01,75.567
1919-01,70.514
1920-01,66.074
1921-01,65.614
1922-01,74.796
1923-01,76.35
1924-01,74.287
1925-01,78.163
1926-01,72.491
1927-01,71.38
1928-01,73.282
1929-01,72.614
1930-01,69.492
1931-01,68.645
1932-01,68.337
1933-01,72.866
1934-01,73.279
1935-01,78.07
1936-01,79.415
1937-01,79.718
1938-01,78.465
1939-01,78.55
1940-01,81.731
1941-01,73.816
1942-01,68.503
1943-01,70.923
1944-01,80.309
1945-01,87.75
1946-01,106.506
1947-01,109.33
1948-01,101.223
1949-01,100.047
1950-01,105.895
1951-01,103.899
1952-01,103.974
1953-02,114.713
1953-03,114.713
1953-03,115.146
1953-04,114.98
1953-05,114.682
1953-06,114.254
1953-07,114.518
1953-08,114.224
1953-09,114.356
1953-10,113.933
1953-11,114.224
1953-12,114.224
1954-01,114.224
1954-02,114.356
1954-03,114.356
1954-04,114.651
1954-05,114.224
1954-06,114.356
1954-07,114.751
1954-08,115.015
1954-09,115.709
1954-10,115.576
1954-11,115.576
1954-12,116.142
1955-01,116.275
1955-02,115.876
1955-03,115.611
1955-04,114.947
1955-05,114.947
1955-06,115.478
1955-07,115.444
1955-08,116.105
1955-09,115.937
1955-10,115.805
1955-11,115.542
1955-12,115.709
1956-01,115.444
1956-02,115.047
1956-03,114.651
1956-04,113.697
1956-05,113.408
1956-06,113.746
1956-07,113.822
1956-08,115.017
1956-09,114.468
1956-10,113.923
1956-11,113.665
1956-12,113.382
1957-01,113.767
1957-02,114.38
1957-03,113.969
1957-04,114.322
1957-05,114.294
1957-06,113.509
1957-07,112.706
1957-08,112.706
1957-09,113.082
1957-10,113.708
1957-11,113.308
1957-12,113.183
1958-01,112.515
1958-02,112.515
1958-03,112.719
1958-04,112.574
1958-05,112.819
1958-06,112.206
1958-07,111.819
1958-08,112.083
1958-09,111.715
1958-10,111.593
1958-11,111.452
1958-12,111.961
1959-01,111.33
1959-02,111.593
1959-03,111.593
1959-04,111.208
1959-05,111.697
1959-06,111.313
1959-07,110.568
1959-08,110.446
1959-09,110.311
1959-10,110.539
1959-11,110.659
1959-12,110.177
1960-01,110.916
1960-02,110.539
1960-03,110.539
1960-04,110.164
1960-05,109.924
1960-06,109.313
1960-07,109.313
1960-08,109.792
1960-09,110.271
1960-10,109.887
1960-11,109.531
1960-12,109.531
1961-01,109.531
1961-02,109.293
1961-03,109.531
1961-04,109.055
1961-05,109.412
1961-06,109.293
1961-07,108.919
1961-08,109.401
1961-09,109.037
1961-10,109.037
1961-11,109.627
1961-12,109.864
1962-01,109.982
1962-02,109.381
1962-03,109.381
1962-04,109.019
1962-05,109.605
1962-06,109.723
1962-07,109.361
1962-08,109.361
1962-09,108.884
1962-10,108.651
1962-11,108.768
1962-12,108.768
1963-01,108.884
1963-02,108.884
1963-03,109.108
1963-04,109.573
1963-05,109.341
1963-06,108.983
1963-07,108.859
1963-08,108.859
1963-09,108.859
1963-10,108.506
1963-11,109.196
1963-12,109.302
1964-01,109.302
1964-02,109.646
1964-03,109.646
1964-04,109.302
1964-05,108.843
1964-06,108.835
1964-07,108.713
1964-08,109.406
1964-09,109.396
1964-10,109.624
1964-11,109.614
1964-12,109.614
1965-01,110.295
1965-02,110.295
1965-03,109.603
1965-04,109.028
