# GZ 신용스프레드와 초과채권프리미엄 · 미 연준 FEDS Notes · scripts/us_credit_gz.py
# 개별 회사채를 만기가 같은 국채와 견주어 만든다(Gilchrist·Zakrajsek 2012).
# ⚠ ICE BofA 하이일드 OAS 와 같은 계열이 아니다. 그쪽은 최근 3년치만 공개된다.
date,gz,ebp,prob
1973-01,1.1308,-0.0469,0.1850
1973-02,1.0755,-0.0571,0.1816
1973-03,1.0300,-0.1491,0.1528
1973-04,0.9827,-0.2097,0.1356
1973-05,1.0465,-0.0831,0.1731
1973-06,1.1859,0.0364,0.2140
1973-07,0.9811,-0.3479,0.1015
1973-08,0.9778,-0.2142,0.1344
1973-09,0.8188,-0.3533,0.1003
1973-10,1.2733,0.1189,0.2453
1973-11,1.3537,0.0523,0.2199
1973-12,1.2960,-0.0075,0.1984
1974-01,1.1784,-0.0376,0.1881
1974-02,1.3067,0.1644,0.2636
1974-03,1.2200,-0.1002,0.1677
1974-04,1.2540,0.0932,0.2353
1974-05,1.3012,0.1005,0.2381
1974-06,1.9018,0.7578,0.5438
1974-07,2.5687,1.2619,0.7705
1974-08,2.1264,0.9449,0.6346
1974-09,2.3819,0.9972,0.6589
1974-10,2.5525,1.1080,0.7082
1974-11,2.3569,1.0902,0.7005
1974-12,2.6612,1.2198,0.7542
1975-01,1.7338,0.3892,0.3627
1975-02,1.6495,0.4136,0.3743
1975-03,1.8961,0.6018,0.4661
1975-04,1.5567,0.2343,0.2929
1975-05,1.6069,0.3610,0.3496
1975-06,1.4619,0.2558,0.3022
1975-07,1.4885,0.3868,0.3616
1975-08,1.3008,0.1281,0.2490
1975-09,1.4187,0.3046,0.3238
1975-10,1.3607,0.1121,0.2426
1975-11,1.3298,0.1839,0.2716
1975-12,1.2542,-0.0406,0.1871
1976-01,0.9980,-0.1643,0.1483
1976-02,1.0617,-0.0830,0.1732
1976-03,1.0111,-0.1241,0.1603
1976-04,1.0521,-0.0663,0.1785
1976-05,1.0237,-0.1269,0.1594
1976-06,1.0198,-0.0510,0.1836
1976-07,0.9837,-0.0894,0.1711
1976-08,0.9121,-0.1699,0.1468
1976-09,0.8551,-0.2065,0.1365
1976-10,0.9219,-0.1444,0.1542
1976-11,0.8556,-0.3744,0.0957
1976-12,1.1083,-0.0462,0.1852
1977-01,0.9877,-0.3407,0.1031
1977-02,0.9379,-0.2086,0.1359
1977-03,0.9232,-0.1759,0.1450
